Collections,Sales,Buyers,Txns,Owners
SolPunks,"$34,598,571","6,776","15,737","4,639"
Nanopass,"$34,496,605","7,697","10,415",
My Pet Hooligan,"$34,394,982","7,806","13,307",
Metasaurs by Dr. DMT,"$34,307,883","7,573","15,433","5,326"
Bloot,"$34,085,841","6,275","14,775","3,980"
the littles NFT,"$33,538,152","7,933","15,120",
Animetas,"$32,006,611","6,774","18,449","4,194"
Boss Beauties,"$31,685,997","8,497","16,868","5,375"
More Than Gamers,"$31,458,185","14,461","22,625",
Smilesss,"$30,248,796","8,309","15,248",
Tom Sachs Rocket Factory,"$29,835,297",764,"2,629",276
Party Ape Billionaire Club,"$29,470,182","6,072","12,970","4,603"
Creepz Shapeshifters,"$29,237,230","2,768","11,206",
Winter Bears,"$29,195,460","10,022","21,862","4,749"
Thug Birdz,"$29,011,594","3,201","6,393","2,268"
CryptoJanky,"$27,577,720","7,927","15,298",
MetaHero Universe DAO Tokens,"$27,565,352","5,592","13,604",1
Janky Heist,"$26,976,916","7,883","14,799","5,776"
Panini America,"$25,737,664","11,270","415,001","10,007"
Meerkat Millionaires Country Club,"$25,703,800","6,173","11,667","4,589"
ALPACADABRAZ,"$25,153,786","6,157","12,704","4,171"
BugBears,"$24,448,983","7,818","18,670","6,425"
X Rabbits Club,"$24,400,844","3,357","7,094","3,413"
Portals,"$24,354,601","4,086","7,844","3,078"
Bold Badgers,"$24,290,719","5,974","17,745","4,006"
Galaxy Fight Club,"$24,107,648","4,745","16,279","2,604"
The Wicked Craniums,"$23,010,393","7,480","21,432","4,646"
Purrnelopes Country Club,"$22,878,597","2,367","8,692","3,054"
Frakt,"$22,867,184","4,463","12,591","1,246"
MetaLegends,"$22,806,358","7,010","12,898",
Cupcats Official,"$22,539,221","3,340","8,871","1,798"
The Vogu Collective,"$22,262,867","4,454","11,450","2,849"
SlimHoods,"$21,827,000","6,529","11,518",
OnChainMonkey,"$21,760,837","5,454","15,691","2,986"
Nifty League DEGENs,"$21,640,884","4,763","12,302","3,332"
Reptile Armoury,"$21,639,367","2,924","9,159",
Voxies,"$21,294,685","1,906","6,555","1,757"
Stoner Cats,"$21,105,072","5,219","9,468","5,139"
Bastard Gan Punks V2,"$20,654,707","3,407","10,873","2,890"
Habbo Avatars,"$20,526,830","4,819","10,828","4,318"
Space Punks Club,"$20,367,389","5,917","13,144","4,445"
Deafbeef,"$20,248,370",98,142,113
Sipherian Surge,"$20,233,047","5,775","13,675","3,755"
DystoPunks V2,"$19,984,409","1,263","3,012",681
Slotie,"$19,913,894","4,302","9,268",
Cool Monkes,"$19,783,751","6,563","14,102",
Solsteads,"$19,188,852","2,169","3,745","1,677"
FoxFam,"$18,969,524","6,118","15,002","3,327"
MoodRollers,"$18,884,778","4,336","7,506","2,456"
CryptoonGoonz,"$18,884,162","6,049","10,684","3,967"
Divine Anarchy,"$18,835,518","7,426","13,943",
FOMO MOFOS,"$18,750,845","5,370","10,493",
hic et nunc,"$18,740,559","39,155","1,021,422","28,842"
CryptoArte,"$18,700,436","4,548","10,511","3,495"
FrankenPunks,"$18,543,365","6,871","11,476",
mfer,"$18,475,446","7,272","13,790",
R Planet,"$18,281,361","12,342","112,239","13,262"
Monkey Bet DAO,"$18,106,990","6,784","14,586","3,933"
Fishy Fam,"$18,082,981","7,131","11,955",
Karafuru,"$17,930,035","4,124","4,677",
The Yakuza Cats Society,"$17,906,062","6,236","14,841","3,513"
Incognito,"$17,718,619","5,355","16,260","3,274"
Mike Tyson NFT,"$17,613,872",767,"1,432",322
Crypto Unicorns,"$17,466,082","2,310","8,501",
Ethereum Name Service,"$17,208,313","5,472","9,711","274,410"
Gutter Rats,"$16,658,267","2,273","4,044",
Jadu Hoverboard,"$16,547,862","6,019","8,574",
Topps MLB,"$16,511,269","16,645","600,529","35,624"
Lonely Alien Space Club,"$16,478,002","5,291","13,844","3,993"
Infinity Labs,"$16,038,073","4,037","11,711","3,011"
Illuminati,"$15,670,926","5,372","9,906",
BYOPills,"$15,517,778","5,198","12,498","3,365"
Waves Ducks,"$15,031,962","1,688","11,853","1,717"
The Official Surreals,"$14,933,320","6,586","12,872","5,065"
Avid Lines,"$14,777,220",284,508,260
Apes In Space,"$14,756,215","9,831","13,469",
World Poker Tour,"$14,731,948","1,175","6,964","1,647"
Dapper Dinos NFT,"$14,452,240","5,286","11,523","4,311"
Rogue Sharks,"$14,123,835","7,145","17,245","6,299"
Bulls On The Block,"$14,108,197","6,731","19,591","4,775"
