Date,Open,High,Low,Close,Adj Close,Volume
2015-08-07,2.592821,3.231847,2.299453,2.526771,2.526771,149784
2015-08-08,2.546495,2.551098,0.651468,0.686651,0.686651,614518
2015-08-09,0.643639,0.801941,0.573504,0.640651,0.640651,485733
2015-08-10,0.651688,0.662660,0.579996,0.643283,0.643283,368004
2015-08-11,0.642956,1.024735,0.604369,0.967177,0.967177,1325151
2015-08-12,0.958926,1.155860,0.799067,1.091483,1.091483,1928115
2015-08-13,1.095786,1.760973,1.052528,1.638137,1.638137,3646750
2015-08-14,1.623124,2.029684,1.579860,1.645692,1.645692,4174871
2015-08-15,1.623201,1.690141,1.414405,1.520573,1.520573,2299774
2015-08-16,1.516476,1.526281,0.981192,1.411728,1.411728,3200928
2015-08-17,1.425394,1.425009,1.070091,1.086977,1.086977,1754565
2015-08-18,1.097535,1.207511,0.985718,0.985718,0.985718,1347188
2015-08-19,1.058152,1.194048,1.058152,1.132476,1.132476,1337027
2015-08-20,1.125567,1.364267,1.121994,1.304122,1.304122,2531612
2015-08-21,1.315339,1.378461,1.191160,1.224798,1.224798,1774025
2015-08-22,1.225676,1.296006,1.187395,1.210701,1.210701,832435
2015-08-23,1.206987,1.237447,1.139194,1.188986,1.188986,1397063
2015-08-24,1.182832,1.197627,1.063273,1.063273,1.063273,798721
2015-08-25,1.060976,1.076847,0.985032,0.987007,0.987007,1131561
2015-08-26,0.980601,1.056661,0.921807,1.023271,1.023271,932207
2015-08-27,1.031942,1.057114,1.012364,1.021085,1.021085,610909
2015-08-28,1.021050,1.077999,0.996975,1.065826,1.065826,645797
2015-08-29,1.067749,1.079987,1.028350,1.057926,1.057926,335817
2015-08-30,1.058320,1.223824,1.047245,1.176764,1.176764,1193158
2015-08-31,1.178646,1.246562,1.069180,1.210121,1.210121,1289362
2015-09-01,1.205880,1.237661,1.185797,1.196644,1.196644,689563
2015-09-02,1.196609,1.201268,1.127514,1.154928,1.154928,788305
2015-09-03,1.155285,1.167341,1.090625,1.137322,1.137322,632072
2015-09-04,1.137322,1.170699,1.114444,1.142661,1.142661,425348
2015-09-05,1.148175,1.203533,1.139774,1.200403,1.200403,402091
2015-09-06,1.199686,1.231633,1.160242,1.162075,1.162075,441187
2015-09-07,1.162138,1.168738,1.108688,1.117270,1.117270,438263
2015-09-08,1.117270,1.149189,1.097583,1.108817,1.108817,381875
2015-09-09,1.106069,1.129564,1.078270,1.075704,1.075704,326986
2015-09-10,1.076685,1.087580,1.007404,1.033301,1.033301,587468
2015-09-11,1.032592,1.036869,0.829300,0.867130,0.867130,1713655
2015-09-12,0.870879,0.983495,0.855487,0.916320,0.916320,681395
2015-09-13,0.919001,0.919813,0.796429,0.825327,0.825327,567972
2015-09-14,0.829350,0.836612,0.770310,0.774407,0.774407,655421
2015-09-15,0.774024,0.927967,0.774161,0.838135,0.838135,624236
2015-09-16,0.835975,0.844067,0.798688,0.803663,0.803663,545351
2015-09-17,0.803389,0.804890,0.734345,0.766802,0.766802,787597
2015-09-18,0.767103,0.779379,0.734333,0.754872,0.754872,428527
2015-09-19,0.751263,0.806334,0.737275,0.780256,0.780256,342194
2015-09-20,0.779194,0.840047,0.772133,0.831365,0.831365,450313
2015-09-21,0.834068,0.846891,0.785179,0.821531,0.821531,379046
2015-09-22,0.821790,0.821644,0.773697,0.811113,0.811113,438850
2015-09-23,0.812700,0.817365,0.795056,0.798754,0.798754,179294
2015-09-24,0.801785,0.811659,0.705674,0.727802,0.727802,753649
2015-09-25,0.733546,0.739115,0.639061,0.658047,0.658047,807523
