Date,Open,High,Low,Close,Adj Close,Volume
1962-02-01,7.300000,7.413333,7.300000,7.393333,1.761209,645000
1962-02-02,7.393333,7.440000,7.360000,7.440000,1.772326,510000
1962-02-05,7.440000,7.440000,7.306667,7.346667,1.750093,315000
1962-02-06,7.346667,7.360000,7.320000,7.353333,1.751919,262500
1962-02-07,7.360000,7.400000,7.360000,7.360000,1.753507,255000
1962-02-08,7.360000,7.400000,7.360000,7.366667,1.755096,22500
1962-02-09,7.366667,7.420000,7.333333,7.420000,1.767802,435000
1962-02-12,7.420000,7.480000,7.413333,7.426667,1.769391,285000
1962-02-13,7.426667,7.433333,7.306667,7.306667,1.740801,262500
1962-02-14,7.306667,7.333333,7.280000,7.293333,1.737624,210000
1962-02-15,7.293333,7.293333,7.260000,7.266667,1.731271,232500
1962-02-16,7.266667,7.293333,7.260000,7.260000,1.729684,225000
1962-02-19,7.260000,7.293333,7.173333,7.186667,1.712212,285000
1962-02-20,7.190000,7.226667,7.190000,7.190000,1.713006,292500
1962-02-21,7.190000,7.240000,7.136667,7.136667,1.700299,367500
1962-02-23,7.146667,7.173333,7.146667,7.160000,1.705857,292500
1962-02-26,7.160000,7.166667,7.120000,7.133333,1.699504,300000
1962-02-27,7.133333,7.193333,7.093333,7.146667,1.702681,352500
1962-02-28,7.146667,7.160000,7.106667,7.160000,1.705857,270000
1962-03-01,7.186667,7.246667,7.186667,7.246667,1.726506,285000
1962-03-02,7.306667,7.346667,7.306667,7.306667,1.740801,247500
1962-03-05,7.306667,7.306667,7.253333,7.280000,1.734449,360000
1962-03-06,7.280000,7.313333,7.266667,7.286667,1.736035,187500
1962-03-07,7.286667,7.310000,7.266667,7.310000,1.741596,127500
1962-03-08,7.310000,7.326667,7.266667,7.326667,1.745566,187500
1962-03-09,7.333333,7.373333,7.333333,7.373333,1.756684,292500
1962-03-12,7.373333,7.393333,7.346667,7.366667,1.755096,285000
1962-03-13,7.366667,7.366667,7.333333,7.360000,1.753507,127500
1962-03-14,7.360000,7.380000,7.333333,7.346667,1.750331,202500
1962-03-15,7.346667,7.386667,7.333333,7.333333,1.747153,247500
1962-03-16,7.333333,7.366667,7.333333,7.366667,1.755096,165000
1962-03-19,7.380000,7.413333,7.380000,7.386667,1.759861,375000
1962-03-20,7.373333,7.373333,7.340000,7.340000,1.748742,165000
1962-03-21,7.340000,7.360000,7.320000,7.346667,1.750331,262500
1962-03-22,7.320000,7.320000,7.266667,7.266667,1.731271,240000
1962-03-23,7.273333,7.306667,7.273333,7.293333,1.737624,187500
1962-03-26,7.293333,7.320000,7.280000,7.290000,1.736830,135000
1962-03-27,7.273333,7.273333,7.146667,7.153333,1.704269,352500
1962-03-28,7.160000,7.213333,7.160000,7.193333,1.713800,330000
1962-03-29,7.193333,7.226667,7.173333,7.173333,1.709033,232500
1962-03-30,7.160000,7.160000,7.070000,7.103333,1.692357,442500
1962-04-02,7.100000,7.100000,7.006667,7.006667,1.669326,375000
1962-04-03,7.000000,7.000000,6.760000,6.833333,1.628031,915000
1962-04-04,6.833333,6.893333,6.803333,6.803333,1.620882,652500
1962-04-05,6.840000,6.946667,6.840000,6.946667,1.655032,915000
1962-04-06,6.946667,7.000000,6.893333,6.940000,1.653444,435000
1962-04-09,6.940000,6.980000,6.893333,6.946667,1.655032,22500
1962-04-10,6.946667,6.973333,6.906667,6.973333,1.661385,262500
1962-04-11,6.973333,7.026667,6.880000,6.880000,1.639147,532500
1962-04-12,6.880000,6.893333,6.806667,6.806667,1.621677,405000
1962-04-13,6.806667,6.906667,6.800000,6.906667,1.645502,630000
1962-04-16,6.906667,6.953333,6.826667,6.900000,1.643915,510000
1962-04-17,6.900000,6.933333,6.866667,6.933333,1.651856,300000
