Date,Open,High,Low,Close,Adj Close,Volume
1995-12-11,2.065416,2.322557,2.057122,2.189839,2.109230,11160546
1995-12-12,2.173249,2.305967,2.123480,2.123480,2.045314,5352722
1995-12-13,2.090301,2.140070,2.073711,2.082006,2.005367,2581422
1995-12-14,2.057122,2.106891,1.775097,1.940994,1.869545,4365663
1995-12-15,1.907814,1.940994,1.874635,1.874635,1.805629,1190498
1995-12-18,1.858045,1.874635,1.642379,1.675559,1.613881,2548269
1995-12-19,1.658969,1.824866,1.658969,1.808276,1.741713,2718556
1995-12-20,1.824866,1.824866,1.775097,1.791687,1.725734,1380375
1995-12-21,1.775097,1.824866,1.775097,1.824866,1.757692,831842
1995-12-22,1.824866,1.824866,1.775097,1.808276,1.741713,797182
1995-12-26,1.824866,1.824866,1.775097,1.775097,1.709755,325503
1995-12-27,1.775097,2.040532,1.775097,2.040532,1.965419,1650121
1995-12-28,1.990763,2.057122,1.907814,2.007353,1.933462,776084
1995-12-29,2.007353,2.189839,2.007353,2.156660,2.077272,1074462
1996-01-02,2.173249,2.189839,2.123480,2.123480,2.045314,565110
1996-01-03,2.123480,2.156660,1.940994,1.940994,1.869545,869516
1996-01-04,1.874635,1.907814,1.791687,1.841456,1.773671,2106730
1996-01-05,1.791687,1.791687,1.675559,1.708738,1.645839,2712528
1996-01-08,1.758507,1.758507,1.692148,1.758507,1.693776,599770
1996-01-09,1.692148,1.758507,1.658969,1.658969,1.597902,1232693
1996-01-10,1.708738,1.708738,1.559431,1.609200,1.549965,1318590
1996-01-11,1.675559,1.891225,1.658969,1.775097,1.709755,1389417
1996-01-12,1.775097,1.808276,1.658969,1.808276,1.741713,1106109
1996-01-15,1.808276,1.940994,1.808276,1.858045,1.789650,1265846
1996-01-16,1.874635,1.874635,1.642379,1.741918,1.677797,590728
1996-01-17,1.725328,1.841456,1.725328,1.808276,1.741713,437018
1996-01-18,1.808276,1.841456,1.791687,1.791687,1.725734,482227
1996-01-19,1.808276,1.858045,1.808276,1.858045,1.789650,409893
1996-01-22,1.824866,1.858045,1.824866,1.841456,1.773671,452088
1996-01-23,2.156660,2.173249,2.023942,2.073711,1.997377,3776442
1996-01-24,2.040532,2.090301,2.032237,2.032237,1.957430,767043
1996-01-25,2.040532,2.106891,2.040532,2.040532,1.965419,628402
1996-01-26,2.106891,2.106891,2.040532,2.106891,2.029336,195905
1996-01-29,2.106891,2.106891,2.040532,2.106891,2.029336,275774
1996-01-30,2.090301,2.189839,2.090301,2.106891,2.029336,545520
1996-01-31,2.140070,2.140070,2.073711,2.106891,2.029336,654021
1996-02-01,2.073711,2.106891,2.057122,2.057122,1.981399,78362
1996-02-02,2.106891,2.305967,2.073711,2.305967,2.221083,941850
1996-02-05,2.289377,2.422095,2.289377,2.388915,2.300978,664569
1996-02-06,2.388915,2.521633,2.388915,2.488454,2.396853,848418
1996-02-07,2.488454,2.521633,2.422095,2.438685,2.348917,1057886
1996-02-08,2.438685,2.471864,2.438685,2.438685,2.348917,227551
1996-02-09,2.438685,2.471864,2.438685,2.471864,2.380874,308927
1996-02-12,2.438685,2.704120,2.438685,2.604581,2.508705,2075084
1996-02-13,2.587992,2.670940,2.554812,2.637761,2.540664,1761636
1996-02-14,2.687530,2.787068,2.637761,2.737299,2.636538,908697
1996-02-15,2.737299,3.019324,2.737299,2.803658,2.700454,1683274
1996-02-16,2.853427,2.936375,2.820247,2.919786,2.812308,675118
1996-02-20,2.870016,2.936375,2.870016,2.878311,2.772360,363177
1996-02-21,2.919786,2.936375,2.870016,2.916675,2.809311,462637
1996-02-22,2.936375,3.284759,2.919786,3.284759,3.163846,916232
1996-02-23,3.317938,3.467245,3.317938,3.409181,3.283688,1428598
1996-02-26,3.400887,3.467245,3.317938,3.467245,3.339615,1282423
1996-02-27,3.483835,3.699501,3.450656,3.633142,3.499406,1668205
1996-02-28,3.599963,3.616553,3.085682,3.135452,3.020035,1538606
1996-02-29,3.102272,3.135452,2.687530,2.886606,2.780349,7919075
1996-03-01,2.853427,2.903196,2.621171,2.820247,2.716433,2647729
1996-03-04,2.870016,3.052503,2.836837,3.035913,2.924160,1496411
1996-03-05,3.118862,3.218400,3.044208,3.135452,3.020035,720327
1996-03-06,3.135452,3.135452,2.952965,3.002734,2.892202,384275
1996-03-07,2.936375,2.936375,2.604581,2.654350,2.556643,2316198
1996-03-08,2.587992,2.604581,2.322557,2.422095,2.332937,3916589
1996-03-11,2.488454,2.571402,2.422095,2.521633,2.428811,4344566
1996-03-12,2.538223,3.069093,2.488454,3.060798,2.948129,5602877
1996-03-13,3.251579,3.409181,2.969555,3.098125,2.984082,4641437
1996-03-14,2.853427,2.903196,2.762183,2.836837,2.732412,17507861
1996-03-15,2.903196,3.019324,2.886606,2.936375,2.828286,5925367
1996-03-18,3.002734,3.019324,2.961260,2.969555,2.860245,1740539
1996-03-19,3.019324,3.019324,2.919786,2.919786,2.812308,2418671
1996-03-20,2.936375,2.936375,2.770478,2.853427,2.748392,2043438
1996-03-21,2.903196,2.903196,2.803658,2.803658,2.700454,949385
1996-03-22,2.770478,2.886606,2.770478,2.886606,2.780349,1940964
1996-03-25,2.853427,2.886606,2.853427,2.853427,2.748392,396330
1996-03-26,2.853427,2.886606,2.820247,2.853427,2.748392,723341
1996-03-27,2.820247,2.886606,2.820247,2.853427,2.748392,1023226
1996-03-28,2.853427,2.886606,2.836837,2.886606,2.780349,880065
1996-03-29,2.886606,2.986144,2.853427,2.936375,2.828286,2373462
1996-04-01,2.903196,3.085682,2.903196,3.035913,2.924160,1496411
1996-04-02,3.085682,3.152041,3.052503,3.118862,3.004056,1134741
1996-04-03,3.152041,3.234990,3.118862,3.201810,3.083950,1320097
1996-04-04,3.201810,3.284759,3.201810,3.268169,3.147866,2451824
1996-04-08,3.218400,3.251579,3.118862,3.185221,3.067972,720327
1996-04-09,3.251579,3.384297,3.218400,3.384297,3.259720,3839734
1996-04-10,3.384297,3.384297,3.268169,3.334528,3.211783,1610940
1996-04-11,3.301348,3.367707,3.268169,3.301348,3.179824,629909
1996-04-12,3.268169,3.384297,3.268169,3.367707,3.243741,2061521
1996-04-15,3.384297,3.633142,3.334528,3.599963,3.467447,1027747
1996-04-16,3.674616,3.699501,3.633142,3.633142,3.499406,1541620
1996-04-17,3.633142,3.682911,3.533604,3.583373,3.451468,681146
1996-04-18,3.550194,3.699501,3.550194,3.699501,3.563321,557575
1996-04-19,3.716091,4.197192,3.699501,4.097654,3.946818,4900634
1996-04-22,4.147423,4.512396,4.130833,4.495806,4.330314,3734247
1996-04-23,5.093035,5.209163,4.844190,5.043266,4.857622,7778928
1996-04-24,4.777831,5.126214,4.728062,5.059856,4.873600,13747996
1996-04-25,4.943728,5.175983,4.910548,5.109625,4.921538,11231373
1996-04-26,5.076445,5.142804,4.893959,5.093035,4.905559,2576902
1996-04-29,5.126214,5.209163,5.010087,5.209163,5.017412,2783355
1996-04-30,5.209163,5.242342,5.076445,5.175983,4.985454,1537099
1996-05-01,5.175983,5.640495,5.175983,5.375060,5.177202,3096803
1996-05-02,5.375060,5.507777,5.109625,5.159394,4.969475,2008778
1996-05-03,5.209163,5.441418,5.175983,5.267227,5.073339,2442782
1996-05-06,5.275522,5.375060,5.076445,5.109625,4.921538,4988038
1996-05-07,5.192573,5.192573,5.076445,5.076445,4.889579,2465387
1996-05-08,5.076445,5.142804,5.010087,5.076445,4.889579,4127563
1996-05-09,5.275522,5.441418,5.175983,5.375060,5.177202,6214703
1996-05-10,5.441418,5.640495,5.375060,5.640495,5.432867,1686288
1996-05-13,5.706854,5.939109,5.623905,5.806392,5.592657,2632659
1996-05-14,5.822981,5.872750,5.524367,5.524367,5.321013,12738333
1996-05-15,5.524367,5.640495,5.474598,5.474598,5.273076,10830522
1996-05-16,5.441418,5.540957,5.209163,5.209163,5.017412,3589579
1996-05-17,5.209163,5.341880,4.976907,5.059856,4.873600,2117279
