Local time,Open,High,Low,Close,Volume
09.03.2015 18:00:00.000 GMT-0300,1.51271,1.51312,1.50283,1.50666,307620.10000000003
10.03.2015 18:00:00.000 GMT-0300,1.50663,1.50962,1.48926,1.49272,360324.07759999996
11.03.2015 18:00:00.000 GMT-0300,1.49275,1.50265,1.48497,1.48817,281588.6863
12.03.2015 18:00:00.000 GMT-0300,1.48817,1.48966,1.47000,1.47412,263239.019
13.03.2015 18:00:00.000 GMT-0300,1.47412,1.47412,1.47412,1.47412,0
14.03.2015 18:00:00.000 GMT-0300,1.47412,1.47412,1.47412,1.47412,0
15.03.2015 18:00:00.000 GMT-0300,1.47387,1.48529,1.47313,1.48270,200638.7003
16.03.2015 18:00:00.000 GMT-0300,1.48270,1.48450,1.47238,1.47477,206832.3773
17.03.2015 18:00:00.000 GMT-0300,1.47477,1.51611,1.46347,1.49771,246604.62060000005
18.03.2015 18:00:00.000 GMT-0300,1.49759,1.50094,1.46878,1.47499,333822.2026000001
19.03.2015 18:00:00.000 GMT-0300,1.47494,1.49888,1.47218,1.49594,260412.36050000004
20.03.2015 18:00:00.000 GMT-0300,1.49594,1.49594,1.49594,1.49594,0
21.03.2015 18:00:00.000 GMT-0300,1.49594,1.49594,1.49594,1.49594,0
22.03.2015 18:00:00.000 GMT-0300,1.49676,1.49883,1.48383,1.49501,298246.4938
23.03.2015 18:00:00.000 GMT-0300,1.49501,1.49837,1.48424,1.48489,289538.98970000003
24.03.2015 18:00:00.000 GMT-0300,1.48485,1.49543,1.48306,1.48806,260622.0688
25.03.2015 18:00:00.000 GMT-0300,1.48800,1.49941,1.48065,1.48475,302650.3706999999
26.03.2015 18:00:00.000 GMT-0300,1.48479,1.49217,1.47963,1.48751,302127.62750000006
27.03.2015 18:00:00.000 GMT-0300,1.48751,1.48751,1.48751,1.48751,0
28.03.2015 18:00:00.000 GMT-0300,1.48751,1.48751,1.48751,1.48751,0
29.03.2015 18:00:00.000 GMT-0300,1.48838,1.49006,1.47522,1.48094,295089.82910000003
30.03.2015 18:00:00.000 GMT-0300,1.48105,1.48712,1.47550,1.48155,310175.1907
31.03.2015 18:00:00.000 GMT-0300,1.48152,1.48711,1.47394,1.48220,285230.72
01.04.2015 18:00:00.000 GMT-0300,1.48214,1.48683,1.47755,1.48266,261942.6902
02.04.2015 18:00:00.000 GMT-0300,1.48266,1.49442,1.48100,1.49089,138682.3907
03.04.2015 18:00:00.000 GMT-0300,1.49089,1.49089,1.49089,1.49089,0
04.04.2015 18:00:00.000 GMT-0300,1.49089,1.49089,1.49089,1.49089,0
05.04.2015 18:00:00.000 GMT-0300,1.49148,1.49810,1.48699,1.48749,127305.6189
06.04.2015 18:00:00.000 GMT-0300,1.48749,1.49203,1.48027,1.48067,257548.31939999998
07.04.2015 18:00:00.000 GMT-0300,1.48064,1.49720,1.48058,1.48652,263279.4195
08.04.2015 18:00:00.000 GMT-0300,1.48649,1.48858,1.46840,1.47116,249892.89029999997
09.04.2015 18:00:00.000 GMT-0300,1.47116,1.47245,1.45869,1.46318,229929.98049999998
10.04.2015 18:00:00.000 GMT-0300,1.46318,1.46318,1.46318,1.46318,0
11.04.2015 18:00:00.000 GMT-0300,1.46318,1.46318,1.46318,1.46318,0
12.04.2015 18:00:00.000 GMT-0300,1.46172,1.46811,1.45656,1.46732,244579.33899999998
13.04.2015 18:00:00.000 GMT-0300,1.46738,1.48014,1.46031,1.47782,276729.5992
14.04.2015 18:00:00.000 GMT-0300,1.47781,1.48531,1.47003,1.48406,244478.26870000004
15.04.2015 18:00:00.000 GMT-0300,1.48406,1.49698,1.48119,1.49306,278941.56269999995
16.04.2015 18:00:00.000 GMT-0300,1.49306,1.50535,1.49159,1.49584,300666.7928
17.04.2015 18:00:00.000 GMT-0300,1.49584,1.49584,1.49584,1.49584,0
18.04.2015 18:00:00.000 GMT-0300,1.49584,1.49584,1.49584,1.49584,0
19.04.2015 18:00:00.000 GMT-0300,1.49553,1.49834,1.48876,1.49040,259940.39920000004
20.04.2015 18:00:00.000 GMT-0300,1.49033,1.49726,1.48562,1.49252,227431.48020000002
21.04.2015 18:00:00.000 GMT-0300,1.49243,1.50794,1.49134,1.50352,294932.5342
22.04.2015 18:00:00.000 GMT-0300,1.50352,1.50699,1.49595,1.50530,284407.4578
23.04.2015 18:00:00.000 GMT-0300,1.50529,1.51876,1.50271,1.51865,269717.04790000006
24.04.2015 18:00:00.000 GMT-0300,1.51865,1.51865,1.51865,1.51865,0
25.04.2015 18:00:00.000 GMT-0300,1.51865,1.51865,1.51865,1.51865,0
26.04.2015 18:00:00.000 GMT-0300,1.51731,1.52611,1.51067,1.52368,228118.80909999998
27.04.2015 18:00:00.000 GMT-0300,1.52368,1.53426,1.51746,1.53379,252158.91080000004
28.04.2015 18:00:00.000 GMT-0300,1.53381,1.54978,1.53276,1.54355,332170.00310000003
29.04.2015 18:00:00.000 GMT-0300,1.54352,1.54919,1.53035,1.53512,356114.66199999995
