Date,Open,High,Low,Close
2015.01.02 00:00,1.5544,1.55467,1.53242,1.53244
2015.01.04 00:00,1.52995,1.53021,1.51718,1.52684
2015.01.05 00:00,1.52696,1.53184,1.52024,1.5251
2015.01.06 00:00,1.5251,1.52729,1.51079,1.5138
2015.01.07 00:00,1.51381,1.51546,1.50543,1.51049
2015.01.08 00:00,1.51049,1.51166,1.50336,1.50795
2015.01.09 00:00,1.50795,1.51738,1.50764,1.51571
2015.01.11 00:00,1.51768,1.51929,1.51654,1.51895
2015.01.12 00:00,1.51895,1.51895,1.50982,1.51658
2015.01.13 00:00,1.51659,1.51908,1.50769,1.51615
2015.01.14 00:00,1.51614,1.52678,1.51443,1.52328
2015.01.15 00:00,1.52328,1.52665,1.51494,1.51788
2015.01.16 00:00,1.51796,1.52336,1.50745,1.5145
2015.01.18 00:00,1.51274,1.51439,1.51142,1.51317
2015.01.19 00:00,1.51317,1.5178,1.50943,1.51034
2015.01.20 00:00,1.51035,1.51985,1.50577,1.51479
2015.01.21 00:00,1.51481,1.51779,1.50751,1.51412
2015.01.22 00:00,1.51414,1.52114,1.49714,1.50075
2015.01.23 00:00,1.50076,1.50346,1.49503,1.49876
2015.01.25 00:00,1.50079,1.50113,1.49946,1.50026
2015.01.26 00:00,1.50033,1.51026,1.49858,1.50808
2015.01.27 00:00,1.5081,1.52227,1.5059,1.51862
2015.01.28 00:00,1.51863,1.52185,1.51302,1.51453
2015.01.29 00:00,1.51453,1.51616,1.50176,1.50688
2015.01.30 00:00,1.50687,1.5095,1.49882,1.50619
2015.02.01 00:00,1.50933,1.50982,1.50754,1.50885
2015.02.02 00:00,1.50885,1.50887,1.50048,1.50237
2015.02.03 00:00,1.50238,1.51969,1.49883,1.51423
2015.02.04 00:00,1.51425,1.52499,1.51382,1.51802
2015.02.05 00:00,1.518,1.53427,1.51676,1.53321
2015.02.06 00:00,1.53322,1.53516,1.52103,1.5225
2015.02.08 00:00,1.52265,1.52365,1.52201,1.5234
2015.02.09 00:00,1.5234,1.52662,1.52,1.52118
2015.02.10 00:00,1.52117,1.52746,1.51959,1.52541
2015.02.11 00:00,1.52543,1.52988,1.52184,1.52388
2015.02.12 00:00,1.52388,1.54127,1.52088,1.53793
2015.02.13 00:00,1.53794,1.54215,1.53705,1.53928
2015.02.15 00:00,1.54178,1.54222,1.53928,1.54096
2015.02.16 00:00,1.54096,1.54396,1.53385,1.53567
2015.02.17 00:00,1.53566,1.54013,1.53156,1.53451
2015.02.18 00:00,1.53451,1.54777,1.5341,1.54364
2015.02.19 00:00,1.54361,1.54649,1.5404,1.54151
2015.02.20 00:00,1.54151,1.54333,1.5343,1.53983
2015.02.22 00:00,1.53953,1.53971,1.53869,1.53894
2015.02.23 00:00,1.53898,1.54739,1.53321,1.54544
2015.02.24 00:00,1.54545,1.54733,1.54038,1.54495
2015.02.25 00:00,1.54495,1.5538,1.54479,1.55272
2015.02.26 00:00,1.55273,1.55516,1.5394,1.54076
2015.02.27 00:00,1.54076,1.5458,1.5384,1.54365
2015.03.01 00:00,1.54151,1.54268,1.54151,1.54254
2015.03.02 00:00,1.54254,1.54281,1.53513,1.53579
2015.03.03 00:00,1.53579,1.5397,1.53442,1.53599
2015.03.04 00:00,1.53598,1.53713,1.52515,1.52635
2015.03.05 00:00,1.52636,1.5269,1.52149,1.52511
2015.03.06 00:00,1.52508,1.52515,1.50314,1.50333
2015.03.08 00:00,1.50345,1.50607,1.50328,1.50585
2015.03.09 00:00,1.506,1.51366,1.50506,1.51191
2015.03.10 00:00,1.5119,1.51201,1.50284,1.50669
2015.03.11 00:00,1.5067,1.50959,1.48928,1.49384
2015.03.12 00:00,1.49384,1.5026,1.48495,1.48875
2015.03.13 00:00,1.48875,1.48962,1.46988,1.47397
