time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-07T05:08:34.751Z,-30.2474,-177.5304,18.04,5.1,mb,,82,1.038,1.03,us,us7000g9tt,2022-01-07T05:25:24.040Z,"Kermadec Islands, New Zealand",earthquake,8.8,4.9,0.079,54,reviewed,us,us
2022-01-06T23:30:01.626Z,-16.3031,-172.8418,10,4.7,mb,,86,8.827,1.05,us,us7000g9s2,2022-01-06T23:55:42.040Z,"109 km ESE of Hihifo, Tonga",earthquake,12.8,1.9,0.065,71,reviewed,us,us
2022-01-06T13:12:16.646Z,-24.6768,-176.9406,149.57,4.7,mb,,61,4.65,0.82,us,us7000g9jp,2022-01-06T15:50:17.040Z,"south of the Fiji Islands",earthquake,8.2,6.2,0.089,41,reviewed,us,us
2022-01-05T21:31:47.103Z,-32.2862,-174.853,10,5,mb,,122,4.006,0.96,us,us7000g9cf,2022-01-05T22:48:01.040Z,"south of the Kermadec Islands",earthquake,7.6,1.9,0.103,30,reviewed,us,us
2022-01-05T19:58:16.386Z,-18.6159,-177.6373,626.81,4.3,mb,,129,4.187,0.18,us,us7000gc08,2022-01-14T23:00:46.040Z,"Fiji region",earthquake,13.5,12.7,0.16,11,reviewed,us,us
2022-01-05T18:06:11.481Z,-30.4456,-177.5194,10,4.9,mb,,186,1.229,0.95,us,us7000gc03,2022-01-14T21:13:29.040Z,"Kermadec Islands, New Zealand",earthquake,11.6,1.9,0.162,12,reviewed,us,us
2022-01-05T16:43:09.709Z,-18.9754,169.6107,271.61,5,mww,,40,4.147,0.67,us,us7000g9aj,2022-01-06T16:08:35.040Z,"71 km NNE of Isangel, Vanuatu",earthquake,7.2,6.5,0.098,10,reviewed,us,us
2022-01-05T11:46:20.802Z,-20.1902,168.7828,10,5.2,mww,,38,2.713,1.17,us,us7000g97b,2022-01-06T15:38:45.040Z,"88 km SW of Isangel, Vanuatu",earthquake,3.6,1.7,0.098,10,reviewed,us,us
2022-01-05T01:08:03.598Z,-17.8446,168.3554,70.21,5.1,mb,,71,2.627,0.9,us,us7000g93v,2022-01-11T15:48:31.040Z,"12 km SSE of Port-Vila, Vanuatu",earthquake,8.3,7.3,0.082,50,reviewed,us,us
2022-01-04T22:42:08.168Z,-18.1022,-174.3292,137.78,4.2,mb,,149,4.835,1.06,us,us7000gbpa,2022-01-14T02:39:46.040Z,"70 km NNW of Neiafu, Tonga",earthquake,13.3,10.9,0.2,7,reviewed,us,us
2022-01-04T18:31:55.605Z,-20.4322,169.7128,117.38,5.8,mww,,38,3.026,0.85,us,us7000g8zf,2022-01-06T23:07:17.572Z,"108 km SSE of Isangel, Vanuatu",earthquake,6.6,3.8,0.049,40,reviewed,us,us
2022-01-04T14:15:05.745Z,-15.9531,168.2741,189.81,4.4,mb,,227,1.147,0.33,us,us7000g8xm,2022-01-04T14:47:13.040Z,"93 km E of Lakatoro, Vanuatu",earthquake,14.4,11.6,0.154,14,reviewed,us,us
2022-01-04T02:35:00.391Z,-20.6444,-176.5868,265.12,5,mb,,139,5.828,0.61,us,us7000g8tq,2022-01-04T02:53:47.040Z,"153 km WNW of Haveluloto, Tonga",earthquake,13.5,8.9,0.07,65,reviewed,us,us
2022-01-04T00:16:57.876Z,-28.2136,-175.7968,10,4.1,mb,,303,2.137,0.18,us,us7000gbne,2022-01-14T01:44:39.040Z,"Kermadec Islands region",earthquake,14.8,2,0.262,4,reviewed,us,us
2022-01-03T18:36:57.700Z,-19.7656,-178.2522,567.13,4.3,mb,,214,4.037,0.51,us,us7000gbla,2022-01-14T16:15:37.040Z,"Fiji region",earthquake,14.5,14.2,0.147,13,reviewed,us,us
2022-01-03T14:49:51.913Z,-18.6808,-177.814,511.26,4.5,mb,,132,4.037,0.35,us,us7000g8pn,2022-01-03T15:32:43.040Z,"Fiji region",earthquake,9.7,6.2,0.06,82,reviewed,us,us
2022-01-02T14:17:29.460Z,-18.2356,-174.3003,43.64,5,mb,,117,4.936,0.83,us,us7000g8hj,2022-01-02T15:35:25.040Z,"56 km NW of Neiafu, Tonga",earthquake,11.8,12.9,0.141,19,reviewed,us,us
2022-01-02T04:01:44.686Z,-17.8411,-178.6666,564.84,4.3,mb,,142,3.127,1.06,us,us7000gbdm,2022-01-12T22:57:04.040Z,"215 km E of Levuka, Fiji",earthquake,19.7,9.7,0.217,6,reviewed,us,us
2022-01-02T01:19:57.446Z,-19.9871,-175.6501,224.53,4.2,mb,,165,6.365,1.18,us,us7000gbdk,2022-01-12T22:24:37.040Z,"135 km NNW of Nuku‘alofa, Tonga",earthquake,17.5,6.8,0.216,6,reviewed,us,us
2022-01-01T23:47:39.163Z,-21.4284,-173.8451,10,4.9,mb,,110,7.732,1.2,us,us7000g8e4,2022-01-02T00:11:00.040Z,"Tonga",earthquake,8,1.8,0.104,29,reviewed,us,us
2022-01-01T00:02:24.512Z,-17.0269,-174.2142,60.87,4.6,mb,,85,3.886,0.17,us,us7000gbcd,2022-01-14T03:17:33.040Z,"126 km SSW of Hihifo, Tonga",earthquake,12.6,6.4,0.273,4,reviewed,us,us
2021-12-31T16:56:14.124Z,-16.034,-174.8129,280.24,4.9,mb,,38,3.611,1.07,us,us7000g870,2021-12-31T17:46:59.040Z,"109 km W of Hihifo, Tonga",earthquake,9.6,6.2,0.032,308,reviewed,us,us
2021-12-31T11:47:28.584Z,-17.476,-179.0119,554.05,4.2,mb,,126,2.812,0.65,us,us7000g85t,2021-12-31T12:16:26.040Z,"188 km ENE of Levuka, Fiji",earthquake,14.3,9.3,0.098,31,reviewed,us,us
2021-12-31T00:50:31.226Z,-22.5913,170.0725,10,5,mb,,108,2.426,0.48,us,us7000g83j,2021-12-31T01:08:46.040Z,"254 km ESE of Tadine, New Caledonia",earthquake,7.6,1.9,0.146,15,reviewed,us,us
2021-12-30T19:29:09.126Z,-29.0443,-176.0762,10,4.7,mb,,171,1.627,1.27,us,us7000gaxn,2022-01-11T23:01:35.040Z,"Kermadec Islands region",earthquake,10.3,1.8,0.159,15,reviewed,us,us
2021-12-30T19:19:29.687Z,-28.7732,-176.3468,10,5.1,mb,,40,1.461,1.06,us,us7000g81c,2022-01-11T22:44:12.040Z,"Kermadec Islands region",earthquake,5.4,1.8,0.064,79,reviewed,us,us
2021-12-30T13:34:34.752Z,-30.3603,-177.8085,10,4.6,mb,,48,1.098,0.69,us,us7000gax5,2022-01-16T14:55:38.040Z,"Kermadec Islands, New Zealand",earthquake,3.7,1.9,0.11,25,reviewed,us,us
2021-12-30T10:14:48.681Z,-16.2429,-175.9522,359.44,4.5,mb,,125,4.648,0.72,us,us7000g7xu,2021-12-30T10:31:03.040Z,"232 km W of Hihifo, Tonga",earthquake,10.9,5.5,0.047,135,reviewed,us,us
2021-12-30T00:19:54.707Z,-21.6778,-179.3371,586.42,5.1,mb,,31,4.62,0.7,us,us7000g7un,2022-01-16T04:27:06.040Z,"Fiji region",earthquake,8,5.1,0.047,149,reviewed,us,us
2021-12-29T20:47:22.199Z,-29.9869,-179.0583,327.14,4.3,mb,,118,1.226,0.91,us,us7000g7sp,2022-01-11T19:09:43.040Z,"Kermadec Islands region",earthquake,17.2,7.9,0.177,10,reviewed,us,us
2021-12-29T17:34:52.609Z,-20.0191,-177.2662,357.49,4.4,mb,,138,4.975,1.03,us,us7000gal7,2022-01-10T17:32:55.040Z,"248 km WNW of Haveluloto, Tonga",earthquake,10.5,9.7,0.17,10,reviewed,us,us
2021-12-29T13:29:40.211Z,-17.5636,-178.875,544.01,4.6,mb,,110,2.934,0.66,us,us6000gg4d,2021-12-29T13:44:58.040Z,"199 km ENE of Levuka, Fiji",earthquake,13.8,9,0.105,27,reviewed,us,us
2021-12-29T12:12:55.768Z,-22.4112,170.2688,10,4.3,mb,,204,2.617,0.76,us,us7000gakm,2022-01-13T07:05:36.040Z,"264 km ESE of Tadine, New Caledonia",earthquake,10.8,1.8,0.169,10,reviewed,us,us
