price,exterior_col,interior_col,MPG,engine,transmission,drive_type,fuel_type,mileage,option_level,style
17000,Silver Ice Metallic,Jet Black,29 cty / 36 hwy,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,2830,Standard,LE CVT
18897,Ebony Black,Black,19 cty / 26 hwy,3.3L V-6 Gas,Automatic,FWD,Gas,32044,Standard,S FWD
8898,Super White,Ash,29 cty / 38 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,55743,Standard,ES 350
10900,Gun Metallic,Charcoal,28 cty / 39 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,35759,Standard,xDrive35i AWD
6595,Crystal White,Tan,21 cty / 30 hwy,3.5L V-6 Gas,Automatic,FWD,Gas,129800,Minimal Options,S Sedan IVT
24968,Dark Graphite Metallic,Black,18 cty / 24 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Gas,98457,Standard,LE Automatic
38998,Firecracker Red Clearcoat,Black,21 cty / 22 hwy,2.0L V-4 Gas Turbocharged,Automatic,4WD,Gas,12551,Standard,Touring RWD
9997,Clear White,Black,33 cty / 41 hwy,1.6L Inline-4 Gas,Automatic,FWD,Gas,27014,Extended Cab,WT Double Cab Standard Box 2WD
5988,Gray,Gray,26 cty / 34 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,111754,Minimal Options,SEL 2.0L IVT
20999,Granite Crystal Metallic Clearcoat,Black,19 cty / 30 hwy,3.6L V-6 Gas,Automatic,RWD,Gas,2576,Standard,ES 350
14878,Portofino Gray,Black,30 cty / 40 hwy,2.0L Inline-4 Gas,Automatic,FWD,Gas,36000,Minimal Options,LT
5900,White,Lt Gray,19 cty / 27 hwy,3.5L V-6 Gas,Automatic,FWD,Gas,165638,Standard,2.5 SV
12945,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,48049,Standard,SL FWD
30988,Black,Espresso Brown,18 cty / 23 hwy,3.5L V-6 Gas,Automatic,RWD,Gas,36322,Minimal Options,LT
15900,Summit White,Jet Black,29 cty / 36 hwy,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,30320,Standard,2.5 S
7990,Gray,Black,27 cty / 38 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,78000,Standard,ES 350
12490,Storm Blue,Charcoal,28 cty / 39 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,44288,Standard,SV CVT
29888,Atomic Silver,Unknown,31 cty / 28 hwy,3.5L V-6 Hybrid,Automatic,AWD,Hybrid,67862,Standard,2.5 SV
12995,Silver Ice Metallic,Jet Black,29 cty / 36 hwy,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,14169,Minimal Options,LT
6750,White Pearl,Charcoal,27 cty / 38 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,149420,Standard,2.5 S
5995,Smoky Granite Mica,Lt Gray,19 cty / 27 hwy,3.5L V-6 Gas,Automatic,FWD,Gas,132274,Standard,GLK 350 RWD
12495,Brilliant Silver Metallic,Charcoal,29 cty / 37 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,27585,Minimal Options,SE AWD
6500,Black,Gray,27 cty / 38 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,114183,Minimal Options,SXT
16495,Mosaic Black Metallic,Jet Black,29 cty / 36 hwy,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,13100,Standard,EX AWD CVT
8999,Storm,Beige,27 cty / 38 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,68044,Standard,2.5 S FWD
11963,Polar White,Black,19 cty / 25 hwy,3.5L V-6 Gas,Automatic,RWD,Gas,116848,Standard,Touring L FWD
18697,Black Noir Pearl,Gray,22 cty / 25 hwy,2.0L Inline-4 Gas,Automatic,AWD,Gas,10083,Minimal Options,S AWD
16994,Granite Pearlcoat,Black,17 cty / 25 hwy,3.6L V-6 Gas,Automatic,FWD,Gas,37245,Minimal Options,SXT
