Year,Real ounce closing price USD,Nominal ounce closing price USD
2003,461.8688751,363.7217391
2004,507.0090929,409.4098425
2005,532.8626081,444.9402778
2006,700.8826683,603.9505952
2007,785.3708581,696.3883399
2008,945.9064003,871.8419291
2009,1062.676072,972.3486056
2010,1314.286698,1224.520916
2011,1632.748135,1571.52008
2012,1703.041224,1668.9804
2013,1415.898161,1411.225697
2014,1242.912213,1258.448616
2015,1145.458262,1160.692857
2016,1248.207705,1248.207705
2017,1256.455444,1256.455444
2018,1269.245934,1269.245934
2019,1393.17843,1393.17843
2020,1770.784274,1770.784274
