Year,Real ounce closing price USD,Nominal ounce closing price USD
1791,19.39,19.39
1792,19.39,19.39
1793,19.39,19.39
1794,19.39,19.39
1795,19.39,19.39
1796,19.39,19.39
1797,19.39,19.39
1798,19.39,19.39
1799,19.39,19.39
1800,19.39,19.39
1801,19.39,19.39
1802,19.39,19.39
1803,19.39,19.39
1804,19.39,19.39
1805,19.39,19.39
1806,19.39,19.39
1807,19.39,19.39
1808,19.39,19.39
1809,19.39,19.39
1810,19.39,19.39
1811,19.39,19.39
1812,19.39,19.39
1813,19.39,19.39
1814,20.1,20.1
1815,21.64,21.64
1816,20.95,20.95
1817,19.46,19.46
1818,19.39,19.39
1819,19.39,19.39
1820,19.39,19.39
1821,19.39,19.39
1822,19.39,19.39
1823,19.39,19.39
1824,19.39,19.39
1825,19.39,19.39
1826,19.39,19.39
1827,19.39,19.39
1828,19.39,19.39
1829,19.39,19.39
1830,19.39,19.39
1831,19.39,19.39
1832,19.39,19.39
1833,19.39,19.39
1834,19.94,19.94
1835,20.69,20.69
1836,20.69,20.69
1837,21.64,21.64
1838,20.86,20.86
1839,20.67,20.67
1840,20.67,20.67
1841,20.67,20.67
1842,20.67,20.67
1843,20.67,20.67
1844,20.67,20.67
1845,20.67,20.67
1846,20.67,20.67
1847,20.67,20.67
1848,20.67,20.67
1849,20.67,20.67
1850,20.67,20.67
1851,20.67,20.67
1852,20.67,20.67
1853,20.67,20.67
1854,20.67,20.67
1855,20.67,20.67
1856,20.67,20.67
1857,20.7,20.7
1858,20.67,20.67
1859,20.67,20.67
1860,20.67,20.67
1861,20.67,20.67
1862,23.42,23.42
1863,30.02,30.02
1864,42.03,42.03
1865,32.52,32.52
1866,29.13,29.13
1867,28.57,28.57
1868,28.88,28.88
1869,27.49,27.49
1870,23.75,23.75
1871,23.09,23.09
1872,23.24,23.24
1873,23.52,23.52
1874,22.99,22.99
1875,23.75,23.75
1876,23.05,23.05
1877,21.66,21.66
1878,20.84,20.84
1879,20.67,20.67
1880,20.66,20.66
1881,20.66,20.66
1882,20.66,20.66
1883,20.66,20.66
1884,20.66,20.66
1885,20.66,20.66
1886,20.65,20.65
1887,20.65,20.65
1888,20.66,20.66
1889,20.68,20.68
1890,20.68,20.68
1891,20.68,20.68
1892,20.68,20.68
1893,20.68,20.68
1894,20.66,20.66
1895,20.65,20.65
1896,20.71,20.71
1897,20.71,20.71
1898,20.71,20.71
1899,20.66,20.66
1900,20.68,20.68
1901,20.71,20.71
1902,20.69,20.69
1903,20.67,20.67
1904,20.68,20.68
1905,20.64,20.64
1906,20.62,20.62
1907,20.66,20.66
1908,20.67,20.67
1909,20.68,20.68
1910,20.64,20.64
1911,20.64,20.64
1912,20.65,20.65
1913,516,20.64
1914,518,20.72
1915,518,20.72
1916,428.9855072,20.72
1917,376.7272727,20.72
1918,322.741433,20.72
1919,278.9757412,20.7
1920,241.025641,20.68
1921,268.3181226,20.58
1922,295.1428571,20.66
1923,304.5714286,21.32
1924,295.5714286,20.69
1925,275.2,20.64
1926,266.1935484,20.63
1927,291.5254237,20.64
1928,295.1428571,20.66
1929,294.7142857,20.63
1930,295,20.65
1931,262.4615385,17.06
1932,344.8333333,20.69
1933,471.8637993,26.33
1934,578.1666667,34.69
1935,580.6666667,34.84
1936,581.1666667,34.87
1937,579.8333333,34.79
1938,580.8333333,34.85
1939,573.6666667,34.42
1940,564.1666667,33.85
1941,541.6,33.85
1942,483.5714286,33.85
1943,483.5714286,33.85
1944,446.5699208,33.85
1945,433.875,34.71
1946,412.2327791,34.71
1947,365.3684211,34.71
1948,347.1,34.71
1949,316.9,31.69
1950,338.7317073,34.72
1951,315.6363636,34.72
1952,314.5454545,34.6
1953,307.5022065,34.84
1954,304.6956522,35.04
1955,316.1552347,35.03
1956,299.8286204,34.99
1957,291.25,34.95
1958,292.5,35.1
1959,284.6715328,35.1
1960,271.3076923,35.27
1961,271.1538462,35.25
1962,271,35.23
1963,269.9230769,35.09
1964,270,35.1
1965,258.6156112,35.12
1966,250.9285714,35.13
1967,249.6428571,34.95
1968,258.6558333,38.798375
1969,261.0326871,41.11264822
1970,215.6582857,35.95023622
1971,238.9409316,40.81111111
1972,323.5032808,58.23059055
1973,512.1880591,97.31573123
1974,753.5391244,158.8460474
1975,699.4672624,160.8774704
1976,510.9420444,124.7720472
1977,572.1747929,147.792749
1978,692.8497521,193.4436508
1979,980.3166023,304.6824
1980,1742.863126,614.359252
1981,1181.570396,458.8037849
1982,911.5493025,376.0140873
1983,994.1780924,423.3210317
1984,811.7597714,360.5836905
1985,691.0574844,317.3335968
1986,784.3937541,368.0375494
1987,919.1667874,446.5312253
1988,864.705514,436.6762846
1989,718.9222072,381.0287698
1990,687.0638492,383.587747
1991,620.9680644,362.2106719
1992,572.3405538,343.8622047
1993,583.0654014,360.0428854
1994,606.5585532,384.1335317
1995,588.6225141,384.0761905
1996,577.9980068,387.721063
1997,482.632441,330.9893281
1998,422.034481,294.0314229
1999,391.3560315,278.5280876
2000,379.6845272,279.0681275
2001,357.8663953,271.0837945
2002,402.9493124,309.9486111
