Pgroup;Lp;PKod;Pname;p_sale_in_time;Psale;Pavarage_stock;Rotation_in_days;Rotation_in_times
ART._HYGIENIC;;;;;;;;
 ;1;12492;*GAZETA  8% VATVAT  8%,;15,01871658;5617,00;0,00;0;
 ;1;12459;*GAZETA 23% VATVAT 23%,;0,034759358;13,00;14,00;402,7692308;0,928571429
 ;1;12461;*GAZETA VAT  0%,;0;0,00;0,00;-;-
CHEMISTRY;;;;;;;;
 ;1;5307; PATYCZKI BELLA 200;0,042780749;16,00;0,00;0;
 ;1;69;AJAX DO CZYSZCZENIA 500G LEMON;0,002673797;1,00;0,00;0;
 ;1;8835;APART PLYN DO KAPIELI 750 ML;0,00802139;3,00;0,00;0;
 ;1;8834;APART PLYN DO KAPIELI 750 ML;0,00802139;3,00;0,00;0;
 ;1;10232;ARIEL KAPSU?KI DO BIA?EGO 32SZT;0,109625668;41,00;0,00;0;
 ;1;10233;ARIEL KAPSU?KI DO KOLORU 32SZT;0,002673797;1,00;0,00;0;
 ;1;3895;BAMBINO OLIWKA DLA DZIECI 150G;0,00802139;3,00;0,00;0;
 ;1;6995;BARWNIKI DO JAJ HIT;0,002673797;1,00;0,00;0;
 ;1;7927;BATERIA AA LR3;0,018716578;7,00;0,00;0;
 ;1;2560;BATERIA GP PLASKA 3R12 4,5V  312GR;0,002673797;1,00;0,00;0;
 ;1;10365;BATERIA MAXELL R3 AA;0,069518717;26,00;0,00;0;
 ;1;5691;BATERIA R14 1 SZT;0,032085561;12,00;0,00;0;
 ;1;5156;BATERIA R6 AA;0,655080214;245,00;0,00;0;
 ;1;7921;BATERIA R6 ALKAICZ;0,625668449;234,00;0,00;0;
 ;1;2820;BELLA HERBS 12 SZT;0,042780749;16,00;0,00;0;
 ;1;19406;BELLA HERBS PODPASKI K.LIPY 12;0,037433155;14,00;0,00;0;
 ;1;17042;BELLA HUSTECZKI NAS.10 SZT;0,002673797;1,00;0,00;0;
 ;1;6436;BELLA PATYCZKI 100 SZT FOLIA;0,005347594;2,00;0,00;0;
 ;1;17047;BELLA PODPASKI  MAX GREEN;0,024064171;9,00;0,00;0;
 ;1;10086;BIALY JELEN PLYN DO KAPIELI 750 ML;0,00802139;3,00;0,00;0;
 ;1;10079;BIALY JELEN PLYN DO KAPIELI 750 ML;0,00802139;3,00;0,00;0;
 ;1;10080;BIALY JELEN PLYN DO KAPIELI 750 ML;0,00802139;3,00;0,00;0;
 ;1;5333;BIALY JELEN SZAMPON 300 ML;0,013368984;5,00;0,00;0;
 ;1;8793;BIBULA MIX;0,026737968;10,00;0,00;0;
 ;1;4235;BLOK RYSUNKOWY;0,026737968;10,00;0,00;0;
 ;1;8792;BLOK TECHNICZNY;0,026737968;10,00;0,00;0;
 ;1;18282;BLOK TECHNICZNY KOLOR;0,00802139;3,00;0,00;0;
 ;1;9800;BLOK TECHNICZY A4;0,026737968;10,00;0,00;0;
 ;1;7190;BRAIT KULKI DO WC;0,016042781;6,00;0,00;0;
 ;1;4544;BREF 4 FORMU?A POWER;0,069518717;26,00;0,00;0;
 ;1;11597;BREF 4-FORMULA AKTIV;0,104278075;39,00;0,00;0;
 ;1;17596;BREF DO WC 750 ML;0,00802139;3,00;0,00;0;
 ;1;9907;BREF KULKI 3*50 G;0,00802139;3,00;0,00;0;
 ;1;9904;BREF KULKI 3*50 G;0,00802139;3,00;0,00;0;
 ;1;9902;BREF KULKI 3*50G;0,00802139;3,00;0,00;0;
 ;1;4123;BREF KULKI BLU AKTIV;0,029411765;11,00;0,00;0;
 ;1;8865;BREF KULKI BLUE TURK 50 G;0,018716578;7,00;0,00;0;
 ;1;9724;BREF KULKI WC;0,016042781;6,00;0,00;0;
 ;1;10157;BREF KULKI WC 50 G;0,005347594;2,00;0,00;0;
 ;1;18394;BREF KULKI WC CHLORINE;0,002673797;1,00;0,00;0;
 ;1;10156;BREF KULKI WC PERFUME;0,010695187;4,00;0,00;0;
 ;1;16849;BREF WC KULKI;0,024064171;9,00;0,00;0;
 ;1;11712;BROS LEP NA OKNO;0,005347594;2,00;0,00;0;
 ;1;10297;BROS PLYN NA KOMARY DLA DZIECI;0,002673797;1,00;0,00;0;
 ;1;10298;BROS ZEL LAGODZACY UKASZENIA;0,002673797;1,00;0,00;0;
 ;1;9970;CHUST.NAWILZANE NANA 72 SZT;0,018716578;7,00;0,00;0;
 ;1;16574;CHUSTECZKI;0,13368984;50,00;0,00;0;
 ;1;32;CHUSTECZKI  BABY KINDI 72 SZT;0,021390374;8,00;0,00;0;
 ;1;3033;CHUSTECZKI BABY KINDII 60 SZT;0,010695187;4,00;0,00;0;
 ;1;13847;CHUSTECZKI CHIGIENICZNE 100+50 GRATIS;0,06684492;25,00;0,00;0;
 ;1;15619;CHUSTECZKI DO HIG.INTYMNEJ 20;0,005347594;2,00;0,00;0;
 ;1;9856;CHUSTECZKI DO HIG.INTYMNEJ BELLA A20 SEN;0,00802139;3,00;0,00;0;
 ;1;17206;CHUSTECZKI HAPPY;0,010695187;4,00;0,00;0;
 ;1;17045;CHUSTECZKI HAPPY NAS. 64 SZT;0,010695187;4,00;0,00;0;
 ;1;15332;CHUSTECZKI HAPPY NASACZ.64 SZT;0,010695187;4,00;0,00;0;
 ;1;18575;CHUSTECZKI HAPPY NO 1;1,061497326;397,00;0,00;0;
 ;1;1867;CHUSTECZKI MEA 100 SZT;0,016042781;6,00;0,00;0;
 ;1;9185;CHUSTECZKI NAS.64 SZT;0,024064171;9,00;0,00;0;
 ;1;9184;CHUSTECZKI NASA.56 SZT HAPPY;0,013368984;5,00;0,00;0;
 ;1;8178;CHUSTECZKI NASACZ.DO DZIECI 72 SZT;0,005347594;2,00;0,00;0;
 ;1;8144;CIENKOPISY  6 KOLOR;0,002673797;1,00;0,00;0;
 ;1;10936;CIF LEMON NEW 500ML;0,002673797;1,00;0,00;0;
 ;1;3797;CLIN 500 ML Z ROSPL APPLA;0,00802139;3,00;0,00;0;
 ;1;2158;CLIN DO SZYB 500 ML Z DOZOWNIKIEM;0,048128342;18,00;0,00;0;
 ;1;19335;CLIN LEMON 500 ML Z DOZ.;0,056149733;21,00;0,00;0;
 ;1;2906;CLIN ZAPAS 500 ML;0,042780749;16,00;0,00;0;
 ;1;8005;COLGATE SZCZOTECZKA PLUS MEDIUM;0,021390374;8,00;0,00;0;
 ;1;5480;COLGATE SZCZOTECZKA ZIG ZAG;0,013368984;5,00;0,00;0;
 ;1;8125;CYRKIEL;0,005347594;2,00;0,00;0;
 ;1;5213;DA JOGURT ALE PITNY TRUS.290 G;0,034759358;13,00;0,00;0;
 ;1;17539;DENATURAT 0,5 L BIALY;0,013368984;5,00;0,00;0;
 ;1;4338;DENATURAT 0,5 ML;0,026737968;10,00;0,00;0;
 ;1;17460;DENATURAT 500ML BOS;0,002673797;1,00;0,00;0;
 ;1;8133;DLUGOPIS 6 KOLOR;0,005347594;2,00;0,00;0;
 ;1;16425;DLUGOPIS KOLOR;0,002673797;1,00;0,00;0;
 ;1;6266;DLUGOPIS Z DODATKIEM;0,002673797;1,00;0,00;0;
 ;1;9975;DO PIELEGNACJI MEBLI 400ML GOLD WAX;0,005347594;2,00;0,00;0;
 ;1;17591;DOMESTOS 750 ML ATLANTIC;0,005347594;2,00;0,00;0;
