SAPOBJECTID;CLASS;WASTE_COL_TYPE;WASTE_COL_MATERIAL;NUMBER_OF_WASTE_BINS;SLAB;FINISH;PHOTO_LEGACY;GIS_STARTUP_DATE;CUSTODIAN;GIS_DESCRIPTION;SORT_FIELD;CREATED_DATE;LAST_EDITED_DATE;POINT_X;POINT_Y
6000078647;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/62/x375p42.jpg;08/06/2010;51000811;WASTE COLLECTION POINT;WACO11971;23/05/2014;25/05/2014;54.829.705.620.000.000;688.557.169.290.000.000
6000078691;WASTE_COL_POINT;STANDARD LITTER BIN;STAINLESS STEEL;0.00000000000;TBA;;https://msvnmap1/Asset_Photos/_legacy/59/x317p54.jpg;08/06/2010;51001206;WASTE COLLECTION POINT;WACO11985;23/05/2014;22/10/2015;55.295.488.630.000.000;688.378.664.620.000.000
6000078745;WASTE_COL_POINT;WHEELIE BIN STAND;PLASTIC;0.00000000000;TBA;;https://msvnmap1/Asset_Photos/_legacy/13/d680p8.jpg;01/05/2003;51001206;WASTE COLLECTION POINT;WACO1203;23/05/2014;28/07/2015;54.139.806.340.000.000;691.291.592.700.000.000
6000078828;WASTE_COL_POINT;STANDARD LITTER BIN;STEEL;0.00000000000;TBA;;https://msvnmap1/Asset_Photos/_legacy/59/x324p79.jpg;30/06/2010;51001206;WASTE COLLECTION POINT;WACO12108;23/05/2014;22/10/2015;55.387.264.880.000.000;688.460.144.040.000.000
6000078866;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/13/d680p122.jpg;01/05/2003;51001206;WASTE COLLECTION POINT;WACO1211;23/05/2014;28/07/2015;54.147.400.760.000.000;691.327.012.490.000.000
6000078886;WASTE_COL_POINT;WHEELIE BIN STAND;PLASTIC;0.00000000000;TBA;;https://msvnmap1/Asset_Photos/_legacy/59/x325p3.jpg;05/07/2010;51000811;WASTE COLLECTION POINT;WACO12122;23/05/2014;25/05/2014;54.228.410.410.000.000;690.438.393.370.000.000
6000078895;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/59/x325p7.jpg;05/07/2010;51000811;WASTE COLLECTION POINT;WACO12124;23/05/2014;25/05/2014;54.168.487.860.000.000;690.126.477.860.000.000
6000078920;WASTE_COL_POINT;WHEELIE BIN STAND;PLASTIC;0.00000000000;TBA;;https://msvnmap1/Asset_Photos/_legacy/59/j289p25.jpg;01/07/2010;51001206;WASTE COLLECTION POINT;WACO12141;23/05/2014;22/10/2015;54.036.038.990.000.000;690.886.944.070.000.000
6000078986;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;Y;PAINTED;https://msvnmap1/Asset_Photos/_legacy/60/f317p23.jpg;28/10/2010;51000811;WASTE COLLECTION POINT;WACO12220;23/05/2014;25/05/2014;55.006.533.630.000.000;688.520.361.780.000.000
6000079017;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;Y;PAINTED;https://msvnmap1/Asset_Photos/_legacy/60/f317p28.jpg;28/10/2010;51000811;WASTE COLLECTION POINT;WACO12223;23/05/2014;25/05/2014;55.044.372.160.000.000;688.487.463.480.000.000
6000079029;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;Y;PAINTED;https://msvnmap1/Asset_Photos/_legacy/60/f317p30.jpg;28/10/2010;51000811;WASTE COLLECTION POINT;WACO12225;23/05/2014;25/05/2014;55.065.573.870.000.000;688.470.847.860.000.000
6000079042;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;Y;PAINTED;https://msvnmap1/Asset_Photos/_legacy/60/f317p32.jpg;28/10/2010;51000811;WASTE COLLECTION POINT;WACO12227;23/05/2014;25/05/2014;55.092.382.760.000.000;688.453.794.330.000.000
6000079049;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;Y;PAINTED;https://msvnmap1/Asset_Photos/_legacy/60/f317p33.jpg;28/10/2010;51000811;WASTE COLLECTION POINT;WACO12228;23/05/2014;25/05/2014;55.108.582.550.000.000;688.444.547.210.000.000
6000079023;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;Y;PAINTED;https://msvnmap1/Asset_Photos/_legacy/60/f317p29.jpg;28/10/2010;51000811;WASTE COLLECTION POINT;WACO12224;23/05/2014;25/05/2014;55.056.938.000.000.000;688.477.223.560.000.000
