"date","close","volume","open","high","low"

"2018/12/04","117.1200","7186037.0000","117.3700","117.3900","116.9310"
"2018/12/03","116.4100","8469254.0000","116.6000","116.7700","116.2950"
"2018/11/30","115.5400","8145706.0000","115.4200","115.6600","115.0400"
"2018/11/29","115.7400","6479337.0000","115.9700","116.2400","115.5600"
"2018/11/28","115.3800","13775870.0000","114.7600","116.0700","114.5900"
"2018/11/27","114.9500","9671086.0000","115.5500","115.6300","114.6000"
"2018/11/26","115.6400","4015867.0000","115.8400","115.8700","115.5300"
"2018/11/23","115.7700","3726611.0000","115.7600","115.8800","115.5850"
"2018/11/21","115.8600","8834155.0000","115.9400","116.3500","115.8600"
"2018/11/20","115.6700","9074603.0000","115.9400","115.9500","115.3700"
"2018/11/19","115.6700","8508210.0000","115.4500","115.9200","115.3700"
"2018/11/16","115.6200","8574834.0000","115.8300","115.8800","115.3700"
"2018/11/15","114.7700","8839780.0000","114.8300","114.9900","114.5600"
"2018/11/14","114.6400","13940080.0000","113.5300","115.0600","113.4600"
"2018/11/13","113.7000","9308860.0000","113.7200","113.9300","113.4200"
"2018/11/12","113.6600","7496975.0000","114.0100","114.0500","113.5800"
"2018/11/09","114.4800","14159170.0000","114.6000","114.7500","114.1400"
"2018/11/08","115.7800","7638712.0000","115.7700","116.1500","115.5000"
"2018/11/07","116.0300","8390733.0000","116.2600","116.3450","115.9000"
"2018/11/06","116.0400","7256922.0000","116.4400","116.5250","115.7400"
"2018/11/05","116.3700","6289437.0000","116.2800","116.6700","116.2300"
"2018/11/02","116.6500","8785410.0000","116.6100","116.9800","116.3900"
"2018/11/01","116.6300","13645890.0000","116.3300","117.0700","116.1800"
"2018/10/31","115.1500","11392590.0000","114.8900","115.1700","114.6600"
"2018/10/30","115.8000","7233239.0000","115.8500","116.0400","115.6350"
"2018/10/29","116.3100","8740386.0000","116.4100","116.5400","115.8400"
"2018/10/26","116.7700","15733070.0000","116.8300","117.6500","116.4600"
"2018/10/25","116.4000","8287171.0000","116.5800","116.7300","116.1900"
"2018/10/24","116.6600","8552209.0000","116.3800","116.7200","116.1101"
"2018/10/23","116.3900","12704180.0000","117.1600","117.2500","116.3300"
"2018/10/22","115.7100","5200459.0000","115.5700","115.7789","115.4300"
"2018/10/19","116.0100","7451976.0000","116.2300","116.2400","115.9600"
"2018/10/18","115.9200","7963838.0000","115.8300","116.4100","115.6300"
"2018/10/17","115.7900","7064994.0000","115.8900","116.3300","115.6800"
"2018/10/16","115.8000","9531122.0000","116.4900","116.6000","115.8000"
"2018/10/15","116.0000","11825190.0000","116.1200","116.5300","115.8900"
"2018/10/12","115.2300","12937430.0000","115.5800","115.7100","115.0800"
"2018/10/11","115.7800","26806200.0000","114.2000","116.0400","114.0900"
"2018/10/10","112.8800","10551470.0000","112.4700","112.9600","112.2500"
"2018/10/09","112.6000","8343864.0000","112.3700","112.6700","111.9700"
"2018/10/08","112.5400","12080750.0000","112.2500","112.5900","111.9000"
"2018/10/05","113.8000","7964752.0000","113.8100","114.1000","113.5700"
"2018/10/04","113.4800","6612610.0000","113.8300","114.1900","113.2550"
"2018/10/03","113.4200","6674203.0000","113.8700","114.0500","113.2600"
"2018/10/02","113.8700","10776620.0000","113.7000","114.3300","113.6100"
"2018/10/01","112.5700","3892579.0000","112.4000","112.6200","112.1500"
"2018/09/28","112.7600","6004598.0000","112.1600","113.0000","112.0700"
"2018/09/27","112.0500","7682434.0000","112.1000","112.4156","111.8499"
"2018/09/26","113.0500","8288427.0000","113.1100","113.6000","112.6600"
"2018/09/25","113.6500","3004729.0000","113.7500","113.8850","113.5700"
"2018/09/24","113.4700","4435319.0000","113.6800","113.9600","113.4300"
"2018/09/21","113.4900","6830204.0000","112.8700","113.6800","112.7900"
"2018/09/20","114.2700","4384159.0000","114.2100","114.3700","113.8550"
"2018/09/19","113.8800","4221580.0000","113.9400","114.1500","113.6800"
"2018/09/18","113.4400","4737631.0000","113.7900","113.9100","113.2750"
"2018/09/17","113.6100","4710213.0000","113.6000","114.0300","113.5500"
"2018/09/14","113.0200","5375075.0000","113.7900","113.9000","112.9100"
"2018/09/13","113.7600","5635825.0000","114.7200","114.7800","113.5800"
"2018/09/12","114.1700","6308600.0000","113.1200","114.3900","113.0550"
"2018/09/11","113.2200","3790432.0000","112.6500","113.3700","112.4200"
"2018/09/10","113.1500","2316483.0000","113.2600","113.4300","113.0000"
"2018/09/07","113.2300","3700735.0000","113.2600","113.6000","112.9700"
"2018/09/06","113.5400","4782969.0000","113.8900","114.2600","113.2800"
"2018/09/05","113.3200","4459102.0000","113.3600","113.4400","113.1200"
"2018/09/04","112.9300","6614456.0000","112.7500","113.0700","112.6100"
"2018/08/31","113.5100","4914150.0000","113.7200","114.0600","113.4400"
"2018/08/30","113.6400","5431636.0000","113.9200","113.9300","113.2400"
"2018/08/29","114.2000","5614917.0000","114.1600","114.2100","113.8500"
"2018/08/28","113.6800","6076876.0000","114.7600","114.8666","113.5500"
"2018/08/27","114.5900","4363992.0000","114.1200","114.7800","114.1200"
"2018/08/24","114.1600","9213888.0000","113.2500","114.4200","113.2100"
"2018/08/23","112.2000","5496994.0000","112.6800","112.8800","112.0600"
"2018/08/22","113.2700","6215600.0000","113.3900","113.4900","113.0700"
"2018/08/21","113.0200","5039931.0000","112.7700","113.1000","112.4400"
"2018/08/20","112.6900","5289157.0000","112.3800","112.7400","112.1600"
"2018/08/17","112.1300","8458541.0000","111.6900","112.1500","111.3800"
"2018/08/16","111.1000","7483154.0000","111.4600","111.8800","111.1000"
"2018/08/15","111.1900","12391540.0000","112.1700","112.1800","111.0600"
"2018/08/14","113.0700","7085813.0000","113.2500","113.4800","112.8400"
"2018/08/13","112.9600","9130769.0000","113.8100","113.8100","112.8300"
"2018/08/10","114.6900","6732186.0000","114.8100","115.2300","114.6076"
"2018/08/09","114.7400","4252329.0000","115.0200","115.1200","114.6900"
"2018/08/08","114.9100","3808017.0000","114.7500","114.9500","114.4100"
"2018/08/07","114.5900","5187239.0000","114.8500","114.9350","114.4200"
"2018/08/06","114.3300","5809853.0000","114.5600","114.7200","114.3100"
"2018/08/03","114.9200","5952069.0000","115.0900","115.5300","114.8600"
"2018/08/02","114.5200","6197386.0000","115.1700","115.2300","114.4200"
"2018/08/01","115.1400","7910766.0000","115.6300","115.7000","115.1250"
"2018/07/31","115.9900","5499534.0000","115.4700","116.3500","115.3940"
"2018/07/30","115.6500","4148626.0000","115.8000","116.0200","115.6400"
"2018/07/27","115.8300","5241979.0000","115.9200","116.2399","115.7700"
"2018/07/26","115.7700","6351544.0000","116.2400","116.5100","115.7700"
"2018/07/25","116.6800","5478155.0000","116.7900","116.8366","116.2700"
"2018/07/24","116.0400","4799896.0000","116.2200","116.4300","115.9100"
