floorUSD,totalVolumeUSD,address,logo,marketplaces,name,chains,floor,owners,totalVolume,category,SK,PK,dailyVolumeUSD,dailyVolume,slug
988,169729722,0x128675d4fddbc4a0d3f8aa777d8ee0fb8b427c2f,https://lh3.googleusercontent.com/ejZNFaWsdUnmzbafD0TRf0RoIX9NiyaCRii_j7PhCnYa8CBW2SzGEjn3RDg4k3gYvFY8T5_cosCj7ozT69zELByZ5OvqoaWCi1LrJG0=s120,['opensea'],PUNKS Comic,['ethereum'],0.28,7076,48123.79062404315,collections,overview,collection#punks-comic,453438,128.56421333300003,punks-comic
2892,160643259,0x3bf2922f4520a8ba0c2efc3d2a1539678dad5e9d,https://lh3.googleusercontent.com/7gOej3SUvqALR-qkqL_ApAt97SpUKQOZQe88p8jPjeiDDcqITesbAdsLcWlsIg8oh7SRrTpUPfPlm12lb4xDahgP2h32pQQYCsuOM_s=s120,['opensea'],0N1 Force,['ethereum'],0.82,4226,45547.48855278741,collections,overview,collection#0n1-force,123327,34.967000000000006,0n1-force
4112,159512883,0x9a534628b4062e123ce7ee2222ec20b86e16ca8f,https://lh3.googleusercontent.com/6CS0frnjPEpvJ8hE3OG6_TbJFEC5YYThnZMdLTTmW-Z91lyYAJkPA7-ou2uE-b_J-cBUBeqWkI4HYKHEiu2PAyCT6wkYKzoeCyuy=s120,['opensea'],MekaVerse,['ethereum'],1.166,5149,45226.99091437678,collections,overview,collection#mekaverse,126483,35.861888887999996,mekaverse
300446,156107700,0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,https://lh3.googleusercontent.com/M2nEf60xoxSn3sRz_YSe4phhBMUdx3_YhIR-OgVMjjFiNOSi3uujRPD9txCh3zWWC3yEHL3Jo2eg9YhjTtPxXGTRpSKhQnQfQvwaAQ,['opensea'],Fidenza by Tyler Hobbs,['ethereum'],80.0,497,41566.86837676192,collections,overview,collection#fidenza-by-tyler-hobbs,510759,136.0,fidenza-by-tyler-hobbs
1763,153508689,0xbd3531da5cf5857e7cfaa92426877b022e612cf8,https://lh3.googleusercontent.com/bcCd1TfusKK6wWjmshwmizmY9j7An3pp9kxopMxfIt-_I8WFnSIK-5gevOduoYK4Qpq2e3DyXgROKNfkP396W5ViEYXhxoyAZG3s_vY=s120,['opensea'],Pudgy Penguins,['ethereum'],0.5,4716,43524.61033257197,collections,overview,collection#pudgypenguins,541079,153.41319000000004,pudgypenguins
25743,144633821,0x57a204aa1042f6e66dd7730813f4024114d74f37,https://lh3.googleusercontent.com/LIpf9z6Ux8uxn69auBME9FCTXpXqSYFo8ZLO1GaM8T7S3hiKScHaClXe0ZdhTv5br6FE2g5i-J5SobhKFsYfe6CIMCv-UfnrlYFWOM4=s120,['opensea'],CyberKongz,['ethereum'],7.299,2343,41008.30214960506,collections,overview,collection#cyberkongz,1015571,287.9467000000001,cyberkongz
2874,143868190,0xc2c747e0f7004f9e8817db2ca4997657a7746928,https://lh3.googleusercontent.com/6X867ZmCsuYcjHpx-nmNkXeHaDFd2m-EDEEkExVLKETphkfcrpRJOyzFxRQlc-29J0e-9mB9uDGze0O9yracSA9ibnQm2sIq5i2Yuw=s120,['opensea'],Hashmasks,['ethereum'],0.815,5057,40791.22131514619,collections,overview,collection#hashmasks,28973,8.2148,hashmasks
41618,125661038,0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb,https://lh3.googleusercontent.com/5y-UCAXiNOFXH551w5bWdZEYOCdHPwbqmcKb-xa3uVQEjQgxvih3HtZWSmzqDqd0uk7kIqFrZhw32Gt6xPBFg4t_n9BKhpou-dwnOg=s120,['opensea'],VeeFriends,['ethereum'],11.8,5160,35628.91290820695,collections,overview,collection#veefriends,1906170,540.459999,veefriends
1411,120011488,0x73da73ef3a6982109c4d5bdb0db9dd3e3783f313,https://lh3.googleusercontent.com/xNW1W9O2CYUNGS2GeHqv9yHw-wLdSb9uVoc51TL5GSp8yvC2en45pqp5zYFHhRGHZpgHJdagD2QELXwpu01frltG7Nl055aVqDTDSg=s120,['opensea'],My Curio Cards,['ethereum'],0.4,4706,34027.085249823846,collections,overview,collection#curiocardswrapper,75495,21.40525,curiocardswrapper
52551,117361289,0x22c36bfdcef207f9c0cc941936eff94d4246d14a,https://lh3.googleusercontent.com/Mf4vImKbzrJUcj7f7RZNOl9iZSEEJgkvpiUp9ugXc9dcpxFe6fvVgxYcRmTI1PnvfL_X1bD3mH4e66j6aJhqLEYm0vvpC8Jy8XJNZOI=s120,['opensea'],Bored Ape Chemistry Club,['ethereum'],14.9,1223,33275.66917364747,collections,overview,collection#bored-ape-chemistry-club,1232464,349.443,bored-ape-chemistry-club
