NFTMarket_DailyVolumeUSD,Date
76883602,2021-11-23
83355639,2021-11-24
68530238,2021-11-25
65486170,2021-11-26
79018894,2021-11-27
86197743,2021-11-28
106844758,2021-11-29
105983625,2021-11-30
79820353,2021-12-01
77725215,2021-12-02
81570886,2021-12-03
60864584,2021-12-04
67791665,2021-12-05
68714443,2021-12-06
110720550,2021-12-07
77210241,2021-12-08
104401009,2021-12-09
95822206,2021-12-10
75025409,2021-12-11
79942467,2021-12-12
156016519,2021-12-13
134377085,2021-12-14
93084961,2021-12-15
87680643,2021-12-16
95244060,2021-12-17
112821588,2021-12-18
72269254,2021-12-19
67988416,2021-12-20
84944391,2021-12-21
79430534,2021-12-22
87721293,2021-12-23
132462785,2021-12-24
84135612,2021-12-25
110808728,2021-12-26
175620655,2021-12-27
21373990,2021-12-28
29568568,2021-12-29
62016663,2021-12-30
10412950,2021-12-31
70737590,2022-01-01
9969884,2022-01-02
14626962,2022-01-03
99500969,2022-01-04
7688379,2022-01-05
1141254,2022-01-06
