Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt,% Low movt,Yearly Gainner,27th Dec,1st Feb,1st March,1st April,TB,RH,Corr,PeRatio,New Pe,W52_High,Corre,latest,Annual_Pat,Cum PAT 3 Quarter,Pat Jump,Annual Growth,Year End,Mar_17_ReportedPAT,Dec_16_ReportedPAT,Sep_16_ReportedPAT,Jun_16_ReportedPAT,Mar_16_ReportedPAT,Dec_15_ReportedPAT,Y oY PAT,LQ>0.5(4q's),PAT Growth,PeRatio,ResultDate,Mar_17_Inst_no_of_shares,Dec_16_Inst_no_of_shares,Int/ Incr/ Decr,Pledge,DividendYield,DERatio,FB,Mar_17_Eps_Before,Dec_16_Eps_Before,Sep_16_Eps_Before,Jun_16_Eps_Before,Mar_16_Eps_Before,Dec_15_Eps_Before,Annual_Eps,Volume,MarketCap,Annual_Pat,EquityCapital,FaceValue,New Listing,PE High Price High,Future,Cap Category
FINCABLES,Buy,INFRA-TELECOM,0,0,535.65,0.09,542,535.5,0.011715867,0.000280112,88%,32%,23%,20%,4%,,572.8,6%,25.29,30,572.8,6%,42885,255.06,240.41,-14.65,G,,0,68.43,104.8,67.18,83.18,52.73,Y,,Y,25.29,42885,192,197,-5,0,0.46,0.04,,0,4.5,6.9,4.6,5.4,3.4,21.7,2.828350186,8192,255.06,30.59,2,,,,MidCap
FINPIPE,Buy,REALTY-HOUSEHOLD,0,0,592.9,1.45,609.45,598.35,0.027155632,-0.009108381,60%,38%,21%,10%,2%,,599,1%,24.61,26,606.8,2%,42881,232.6671,221.3108,-11.3563,G,,0,71.9498,51.3168,98.0442,78.4784,42.9798,Y,,Y,24.61,42881,172,161,11,0.02,1.68,0.11,,0,5.8,4.14,7.9,6.32,3.46,19.26,2.560784538,7358,232.6671,124.0954,10,,,,MidCap
FIRSTWIN,Exit,TEXTILES AND APPAREL,#N/A,#N/A,3,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,9%,,,,0,#DIV/0!,3.2,6%,42779,-30.2049,-17.0511,13.1538,,,0,-5.9536,-5.6946,-5.4029,-5.7174,-8.3976,,,,0,42779,0,0,,5.51,0,2.89,FB,0,0,0,0,0,0,0,0.000505077,15,-30.2049,50.2328,10,,,,MiniCap
FLEXITUFF,Exit,FMCG,#N/A,#N/A,173.7,#N/A,#N/A,#N/A,#N/A,#N/A,-5%,-3%,-11%,-15%,-5%,TB,220,21%,88.85,39.47727273,225.05,23%,42780,4.8219,6.4246,1.6027,,,0,2.7474,6.8556,-3.1784,4.9945,-3.8889,Y,,Y,88.85,42780,5,5,0,100,0,1.51,FB,0,1.1,2.75,-1.28,2.01,-1.56,1.93,0.313664147,432,4.8219,24.8828,10,,,,MiniCap
FLFL,RS,TEXTILES AND APPAREL,0,0,293.25,-0.49,297,291.25,0.012626263,0.006866953,263%,146%,79%,54%,5%,,301.45,3%,174.4,87,305.65,4%,42870,29.47,26.74,-2.73,G,,0,15.94,7.27,3.53,5.22,19.66,Y,,Y,174.4,42870,32,30,2,30.77,0.13,0.56,FB,0,0.84,0.38,0.19,0.28,1.04,1.55,2.435224332,5572,29.47,38,2,,,,MidCap
FMGOETZE,RS,AUTO-AUTOMOBILES AND AUTO PARTS,Aluminum,Down,597,-0.34,600,592,0.005,0.008445946,78%,29%,22%,22%,9%,,651,8%,53.84,73,651,8%,42770,54.9727,48.6823,-6.2904,G,,0,11.4215,20.5524,16.7084,12.9206,10.7105,Y,,Y,53.84,42770,37,37,0,0,0,0.34,FB,0,2.05,3.69,3,2.32,1.93,8.56,0.246431736,3321,54.9727,55.6321,10,,,,SmallCap
FMNL,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,80.65,#N/A,#N/A,#N/A,#N/A,#N/A,208%,144%,73%,49%,10%,,93.5,14%,14.21,-21,93.5,14%,42779,-0.1775,-15.4175,-15.24,,,0,-5.4368,-2.626,-7.3547,47.4142,-4.283,,,,14.21,42779,15,16,-1,80.55,0,2.36,FB,0,-0.97,-0.47,-1.31,0.12,-0.76,-0.06,0.836097905,454,-0.1775,56.2913,10,,,,MiniCap
FORTIS,Exit,PHARMA,0,0,209.7,-1.12,210.75,204,0.004982206,0.027941176,4%,23%,17%,9%,16%,,228.95,8%,25.48,5.923728814,228.95,8%,42780,-69.13,34.83,103.96,G,,0,15.65,15.98,3.2,-102.59,-67.69,Y,,Y,25.48,42780,148,130,18,85.6,0,0.34,FB,0,8.85,0.55,0.18,-2.06,-1.28,-0.97,34.31152908,10857,-69.13,481.56,10,,,,MidCap
FOSECOIND,HWLV,CHEMICALS,#N/A,#N/A,1404.05,#N/A,#N/A,#N/A,#N/A,#N/A,15%,12%,6%,5%,4%,TB,1660,15%,28.19,32,1660,15%,,0,24.6882,24.6882,G,,7.1997,7.0364,7.7364,9.9154,8.3935,7.4925,Y,,Y,28.19,42851,7,8,-1,0,1.63,0.01,,11.27,11.02,12.11,15.53,13.14,11.73,0,0.066458713,897,0,6.3865,10,,,,MiniCap
FRETAIL,NL,FMCG,0,0,351.7,-1.62,361,344,0.025761773,0.022383721,,193%,114%,41%,31%,,359.8,2%,47.38,41,359.8,2%,42864,14.55,245.23,230.68,G,,0,101.05,73.63,70.55,104.36,53.83,Y,,Y,47.38,42864,124,106,18,64.16,0,0.63,FB,0,2.14,1.56,0,0,1.65,0.66,13.57305552,16594,14.55,94.27,2,FRETAIL,,,LargeCap
FSL,Buy,IT,0,0,39.1,-0.64,39.65,38.6,0.013871375,0.012953368,27%,8%,-1%,-11%,-6%,TB,49.25,21%,9.54,10,53.65,27%,,265.407,214.329,-51.078,G,,64.899,69.768,71.2,73.361,79.632,67.224,Y,,Y,9.54,42860,67,60,7,0,0,0.24,,0.95,1.02,1.04,1.05,1.14,0.96,3.78,11.42301448,2664,265.407,677.925,10,,,,SmallCap
GABRIEL,Buy,AUTO-AUTO ANCL AND COMPONENTS,NA,NA,130.55,-0.61,132,129.05,0.010984848,0.011623402,43%,27%,21%,14%,7%,TB,128.6,-2%,23.23,25,132.5,1%,42870,75.238,59.541,-15.697,G,,0,18.832,21.28,19.429,20.927,17.556,Y,,Y,23.23,42870,63,61,2,0,0.91,0.02,,0,1.31,1.48,1.35,1.46,1.22,5.24,2.387498138,1875,75.238,14.364,1,,,,SmallCap
GAEL,Buy,FMCG-FOOD,0,0,139.1,-0.07,142,138.05,0.020422535,0.00760594,197%,59%,50%,31%,17%,,139.6,0%,10.26,11,153,9%,42868,103.66,123.45,19.79,G,,0,45.36,29.83,48.26,31.46,31.26,Y,,Y,10.26,42868,40,36,4,0,0.57,0.35,,0,3.29,2.16,3.49,2.27,2.26,7.49,1.682902509,1595,103.66,27.67,2,,,,SmallCap
GAIL,Buy,ENERGY-OIL & GAS,#N/A,#N/A,417.5,-2.68,419.1,405.25,0.003817705,0.030228254,65%,49%,35%,21%,11%,,433.7,4%,17.6,13,433.7,4%,42877,2048.14,3242.75,1194.61,G,,0,982.92,924.65,1335.18,769.99,675.79,Y,,Y,17.6,42877,783,747,36,0,1.31,0.41,,0,7.75,7.29,10.53,6.07,5.33,17.75,121.0137179,70612,2048.14,1268.48,10,,,,LargeCap
GAL,TA,METALS AND MINING,#N/A,#N/A,10.05,0.5,10.3,10.05,0.024271845,0,257%,-9%,-17%,-23%,-9%,,14.9,33%,0,84,14.95,33%,42776,-13.3216,-4.373,8.9486,,,0,0.4309,-1.9301,-2.8738,-11.6521,-2.2152,Y,,Y,0,42776,3,1,2,0,0,1.2,FB,0,0.03,-1.22,-1.82,-7.36,-1.4,-8.42,2.028065837,159,-13.3216,15.8276,1,,,,MiniCap
GALLANTT,Exit,METALS AND MINING,#N/A,#N/A,42.05,#N/A,#N/A,#N/A,#N/A,#N/A,66%,12%,-3%,-2%,0%,,49,14%,12.64,11,54,22%,,41.5831,21.5844,-19.9987,,,5.518,7.887,7.8642,5.8332,11.8414,9.5947,Y,,Y,12.64,42859,0,0,,1,0,0.17,FB,0.68,0.97,0.97,0.72,1.46,1.18,5.63,0.110018209,342,41.5831,81.3223,10,,,,MiniCap
GALLISPAT,HWLV,METALS AND MINING,0,0,245.6,-0.37,246.75,242,0.004660588,0.014876033,-14%,-50%,-49%,-49%,-40%,TB,539,54%,21.23,19,663,63%,,29.1436,37.029,7.8854,G,,7.2182,9.3085,12.2694,15.4511,4.1114,8.1698,Y,,Y,21.23,42859,3,3,0,0,0.2,0.48,,2.56,3.3,4.35,5.47,1.46,2.89,16.98,0.6638107,945,29.1436,28.2361,10,,,,MiniCap
GAMMNINFRA,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,4.35,#N/A,#N/A,#N/A,#N/A,#N/A,-13%,23%,26%,7%,7%,TB,5.15,16%,8.44,54.375,6.45,33%,42773,-22.7928,10.4546,33.2474,,,0,1.7434,2.8297,5.8815,38.4637,18.9095,,,,8.44,42773,24,27,-3,95.93,0,2.47,FB,0,0.02,0.03,0.06,0.41,0.2,-0.18,0.493414135,410,-22.7928,189.1764,2,,,,MiniCap
GAMMONIND,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,10.35,#N/A,#N/A,#N/A,#N/A,#N/A,-19%,-8%,-15%,-16%,7%,TB,13.7,24%,0,-4.620535714,20.65,50%,42781,-486,-183.08,302.92,,December,0,-20.53,-71.92,-90.63,53.38,-121.21,,,,0,42781,48,48,0,93.14,0,-16.75,FB,0,-0.56,-0.2,-2.47,3.72,-8.82,-30.5,0.493687299,383,-486,74.11,2,,,,MiniCap
GANDHITUBE,BWLV,METALS AND MINING,#N/A,#N/A,334.45,#N/A,#N/A,#N/A,#N/A,#N/A,64%,17%,2%,0%,0%,,360,7%,16.9,20,360,7%,42871,18.55,22.7618,4.2118,G,,0,6.0986,6.1997,10.4635,6.1684,3.2046,Y,,Y,16.9,42871,14,11,3,0,2.24,0,,0,4.15,4.22,7.12,4.2,2.18,12.62,0.203224666,492,18.55,7.3493,5,,,,MiniCap
GANECOS,BWLV,TEXTILES AND APPAREL,crude oil,Down,331.35,-3.73,338,318,0.019674556,0.041981132,47%,98%,83%,56%,54%,,301,-10%,22.08,20,333,0%,42767,24.8592,21.6042,-3.255,G,,0,7.7752,8.0082,5.8208,6.9419,6.3513,Y,,Y,22.08,42767,11,11,0,26.2,0.36,0.59,,0,4.05,4.17,3.04,3.63,3.34,12.84,0.481760437,635,24.8592,19.1769,10,,,,MiniCap
GANESHHOUC,HWLV,REALTY,#N/A,#N/A,130.8,-4.85,131.35,123.5,0.004187286,0.059109312,-15%,110%,72%,69%,55%,,124.9,-5%,12,12,139.7,6%,42780,69.6781,42.0792,-27.5989,,New Listing,0,13.9496,13.9808,14.1488,18.8298,18.3143,Y,,Y,12,42780,6,6,0,10.74,1.52,0.64,,0,2.78,2.84,3.88,4.92,4.74,18.6,1.048477901,641,69.6781,49.0028,10,,,,MiniCap
GANGOTRI,Exit,TEXTILES AND APPAREL,#N/A,#N/A,0.85,#N/A,#N/A,#N/A,#N/A,#N/A,,,,21%,31%,,0.9,6%,0,-0.097926267,1.35,37%,42868,-38.8041,-1.4363,37.3678,,,0,-0.1965,-1.1185,-0.1213,-24.4217,9.0609,,,,0,42868,6,6,0,74.84,0,-1.14,FB,0,-2.17,-2.45,-2.15,4.78,1.98,-6.28,0.000147464,3,-38.8041,16.3073,5,,,,MiniCap
GARDENSILK,Exit,TEXTILES AND APPAREL,#N/A,#N/A,35.1,#N/A,#N/A,#N/A,#N/A,#N/A,54%,25%,11%,9%,9%,,38,8%,0,-1,41.35,15%,42780,-139.3712,-80.3213,59.0499,,,0,-34.2587,-21.9946,-24.068,9.394,-55.1142,,,,0,42780,48,47,1,0,0,-38.62,FB,0,-8.14,-5.23,-5.72,2.23,-13.1,-33.12,0.260988268,148,-139.3712,42.0825,10,,,,MiniCap
GARWALLROP,BWLV,TEXTILES AND APPAREL,#N/A,#N/A,796.95,0.8,812.95,802.4,0.019681407,-0.006792124,117%,36%,38%,16%,12%,,849,6%,21.5,24,849,6%,42779,61.9044,63.636,1.7316,G,,0,17.8624,26.0122,19.7614,17.2821,14.6033,Y,,Y,21.5,42779,43,43,0,0,0.41,0.08,,0,8.16,11.89,9.03,7.9,6.67,28.29,0.828289069,1744,61.9044,21.8821,10,,,,SmallCap
GATI,Exit,TRANSPORTATION LOGISTICS,0,0,135.4,-0.59,137,132.5,0.011678832,0.021886792,34%,24%,13%,5%,-4%,TB,146.25,7%,40.46,80.5952381,189.35,28%,,49.23,26.66,-22.57,,,10.63,6.49,8.36,11.81,20.02,11.07,Y,,Y,40.46,42861,56,51,5,81.25,0,0.77,FB,0.78,0.42,0.49,1.08,1.31,0.65,3.11,10.36442872,1194,49.23,17.61,2,,,,SmallCap
GAYAPROJ,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,0,0,169.05,1.21,174.35,167,0.030398623,0.012275449,40%,40%,31%,22%,17%,,169.7,0%,42.28,11,170.9,1%,42780,-27.7867,42.1252,69.9119,G,,0,14.1591,11.6169,16.3492,28.5011,12.1666,Y,,Y,42.28,42780,46,44,2,94.53,0.23,5.59,FB,0,3.99,3.28,4.61,8.33,3.48,0.37,1.98659039,2996,-27.7867,35.4504,2,,,,SmallCap
GDL,Buy,TRANSPORTATION LOGISTICS,0,0,257.55,-2.83,257.9,250,0.001357115,0.0302,-7%,14%,7%,4%,2%,TB,283.25,9%,25.38,43,325.65,21%,42873,102.3567,36.133,-66.2237,,,0,16.3684,10.072,9.6926,21.2719,8.9058,Y,,Y,25.38,42873,227,221,6,14.68,2.71,0.21,,0,1.51,0.93,0.89,1.95,0.82,10.08,2.328880505,2800,102.3567,108.728,10,,,,SmallCap
GEECEE,HWLV,REALTY,0,0,138.85,0.83,140.8,138.05,0.013849432,0.005795002,24%,19%,-1%,4%,11%,,149,7%,10.06,16,219.7,37%,42873,35.8929,18.0737,-17.8192,,,0,4.5936,7.7497,5.7304,11.7333,9.1943,,Y,Y,10.06,42873,2,2,0,0,1.08,0,,0,2.11,3.57,2.64,5.4,2.16,14.48,0.434938585,302,35.8929,21.7265,10,,,,MiniCap
GEMINI,Exit,INFRA-TELECOM,#N/A,#N/A,1.8,#N/A,#N/A,#N/A,#N/A,#N/A,-42%,-5%,3%,0%,6%,TB,2.1,14%,0,-15,3.2,44%,,-22.7934,-2.3999,20.3935,,,-0.0102,-0.3892,-0.4947,-1.516,-16.4851,-0.8179,,,,0,42840,8,8,0,77.55,0,-0.87,FB,-0.01,-0.03,-0.04,-0.12,-1.33,-0.07,-1.84,0.009909803,19,-22.7934,12.39,1,,,,MiniCap
GENESYS,HWLV,IT,#N/A,#N/A,149.45,#N/A,#N/A,#N/A,#N/A,#N/A,282%,27%,3%,-9%,-20%,,207,28%,32.73,22,207,28%,42780,4.3056,13.6475,9.3419,G,,0,5.3907,5.0667,3.1901,0.3561,0.4923,Y,,Y,32.73,42780,13,13,0,4.92,0.08,0.05,,0,1.72,1.62,1.02,0.12,0.16,0.72,0.735903036,458,4.3056,15.2238,5,,,,MiniCap
GENUSPAPER,HWLV,PAPER,#N/A,#N/A,5.3,#N/A,#N/A,#N/A,#N/A,#N/A,41%,0%,-4%,7%,2%,TB,6.15,14%,25.64,27,7.55,30%,42776,4.7497,4.2422,-0.5075,,,0,1.4035,1.5905,1.2482,1.1152,1.5892,Y,,Y,25.64,42776,12,12,0,2.54,0,0.17,FB,0,0.05,0.06,0.05,0.04,0.06,0.18,0.080833456,136,4.7497,25.7126,1,,,,MiniCap
GENUSPOWER,BWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,42.6,#N/A,#N/A,#N/A,#N/A,#N/A,-19%,15%,3%,7%,5%,TB,45.45,6%,19.8,23,60.4,29%,42766,78.4506,41.7526,-36.698,,,0,12.2146,13.2785,16.2595,13.772,18.7501,Y,,Y,19.8,42766,22,22,0,0,0.58,0.33,,0,0.47,0.51,0.68,0.54,0.72,3.04,0.840415674,1096,78.4506,25.7023,1,,,,SmallCap
GEOJITFSL,HWLV,FINANCIAL SERVICES,#N/A,#N/A,70,2.14,73.2,70,0.043715847,0,,105%,83%,59%,18%,,68,-3%,34.85,28,70.5,1%,42762,0,16.07,16.07,G,,0,16.07,0,0,0,0,Y,,Y,34.85,42762,10,6,4,0,1.42,0,,0,0.63,0,0,0,0,0,0.447686276,1649,0,23.53,1,,,,SmallCap
GEPIL,TA,INFRA-POWER,#N/A,#N/A,668.25,-0.34,679.55,655.2,0.016628651,0.019917582,,48%,17%,11%,14%,,695,4%,0,9,695,4%,42768,-79.02,-38.69,40.33,G,,0,121.42,-97.1,-63.01,27.4,-58.93,Y,,Y,0,42768,125,144,-19,0,0,0,,0,18.06,-14.44,-9.37,4.08,-8.77,-11.75,2.409942251,4492,-79.02,67.23,10,,,RISKY,SmallCap
GESHIP,Buy,TRANSPORTATION LOGISTICS,0,0,422.6,-1.33,422.55,413.1,-0.000118329,0.022996853,41%,22%,9%,14%,1%,TB,474.95,11%,8.93,7,477.5,11%,,1039.4,740.73,-298.67,,,-34.16,238.36,268.75,233.62,58.2,358.13,Y,,Y,8.93,42860,354,354,0,0.01,0.85,0.6,,-2.26,15.81,17.79,15.46,3.85,23.71,68.8,2.420439887,6372,1039.4,150.78,10,,,,MidCap
GET&D,TA,INFRA-POWER,#N/A,#N/A,373.6,-1.74,377.2,365,0.009544008,0.023561644,,31%,23%,25%,14%,,360,-4%,0,54,380,2%,42765,77.51,-132.58,-210.09,,,0,44.31,20.52,-197.41,29.87,-18.21,Y,,Y,0,42765,116,120,-4,0,0.48,0.38,,0,1.73,0.8,-7.71,1.17,-0.71,3.03,2.435171507,9566,77.51,51.21,2,,,,MidCap
GHCL,Buy,DIVERSIFIED,0,0,256.6,-0.23,261.3,256,0.017986988,0.00234375,139%,9%,-4%,-3%,-3%,,279.85,8%,7.28,8,299,14%,42875,257.64,273.65,16.01,G,,0,80.54,90.28,102.83,78.96,66.31,Y,,Y,7.28,42875,113,114,-1,0,1.36,1.18,,0,8,8.97,10.25,7.89,6.63,25.76,5.498361581,2563,257.64,100.02,10,,,,SmallCap
GICHSGFIN,Buy,FINANCIAL SERVICES-NBFC,Interest Rate,Down,572.25,-2.1,576.25,559.35,0.006941432,0.023062483,56%,124%,95%,81%,57%,,592.5,3%,20.83,22,592.5,3%,,124.5,101.12,-23.38,G,,46.61,34.43,34.37,32.32,35.87,30.59,Y,,Y,20.83,42851,52,50,2,0,0.87,8.38,,8.66,6.39,6.38,6,6.66,5.68,23.12,3.198385114,3082,124.5,53.85,10,,,,SmallCap
GILLANDERS,TA,TEXTILES AND APPAREL,#N/A,#N/A,74.25,#N/A,#N/A,#N/A,#N/A,#N/A,8%,26%,14%,16%,14%,,85.45,13%,0,186,85.45,13%,42780,-55.3549,3.8922,59.2471,,,0,0.3639,7.4513,-3.923,-36.9636,3.4717,,Y,Y,0,42780,32,32,0,0,0,1.8,,0,0.1,3.48,-1.86,-17.34,1.61,-26.01,0.046593016,158,-55.3549,21.3423,10,,,,MiniCap
GILLETTE,Exit,FMCG,0,0,5018.9,-2.08,5024.95,4901,0.001203992,0.024056315,-2%,17%,20%,24%,19%,,4470,-12%,62.26,75,5074,1%,,0,156.49,156.49,G,,105.82,54.75,54.84,46.9,80.85,51.99,Y,,Y,62.26,42861,98,102,-4,0,0.49,0,FB,32.47,16.8,16.83,14.4,24.81,15.95,0,3.771783643,16354,0,32.59,10,,,,LargeCap
GINNIFILA,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,44.85,-0.45,46,44.5,0.025,0.007865169,136%,133%,73%,43%,27%,,47.95,6%,21.95,17,47.95,6%,42867,4.3971,12.2679,7.8708,,,0,4.736,5.0515,2.4804,2.2069,0.4114,Y,,Y,21.95,42867,19,18,1,40.53,0,1.78,,0,0.65,0.69,0.33,0.29,0.04,0.54,1.326456528,317,4.3971,70.6501,10,,,,MiniCap
GIPCL,BWLV,INFRA-POWER,#N/A,#N/A,109.15,#N/A,#N/A,#N/A,#N/A,#N/A,31%,20%,1%,6%,6%,TB,116.4,6%,7.92,10,116.4,6%,42867,188.44,146.79,-41.65,G,,0,41.29,50.53,54.97,61.46,34.45,Y,,Y,7.92,42867,60,60,0,0,2.47,0.19,,0,2.73,3.34,3.63,4.06,2.28,12.44,1.114036256,1651,188.44,151.25,10,,,,SmallCap
GISOLUTION,Exit,IT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-8%,,,,,,,,0,#N/A,5.6,,42780,-0.2714,-0.0662,0.2052,,,0,-0.0171,-0.028,-0.0211,-0.0292,-0.035,,,,0,42780,4,4,0,0,0,0.18,#N/A,0,-0.02,-0.03,-0.02,-0.03,-0.04,-0.32,0.000216591,3,-0.2714,8.6119,10,,,,MiniCap
GITANJALI,Exit,JEWELLERY,0,0,69.5,-1.22,69.85,68.35,0.005010737,0.016825165,110%,32%,4%,7%,5%,,77.4,10%,5.81,3,93.6,26%,42780,135.1278,161.1924,26.0646,G,,0,58.6772,45.1976,57.3176,-8.0105,79.1182,Y,,Y,5.81,42780,37,31,6,79.13,0.71,1.86,FB,0,5.08,4.01,5.46,-2.05,8.4,13.26,5.620514532,824,135.1278,118.616,10,,,,MiniCap
GKWLIMITED,Exit,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,400,#N/A,#N/A,#N/A,#N/A,#N/A,-25%,-9%,-7%,-6%,-8%,TB,502,20%,74.59,91.74311927,729.9,45%,42874,11.12,2.38,-8.74,,,0,0.65,1.1,0.63,0.82,0.59,Y,,Y,74.59,42874,0,0,,0,0,0,FB,0,1.09,1.84,1.05,1.38,0.99,18.63,0.022447814,239,11.12,5.97,10,,,,MiniCap
GLAXO,Exit,PHARMA,0,0,2436.65,-0.23,2460,2420,0.00949187,0.006880165,-26%,-9%,-10%,-9%,-11%,TB,2798.5,13%,62.2,97,3620,33%,42874,376.82,224.07,-152.75,,,0,52.95,98.85,72.27,105.78,78.93,Y,,Y,62.2,42874,194,198,-4,0,2.05,0,FB,0,6.3,11.7,8.5,12.5,9.3,44.5,1.92447777,20639,376.82,84.7,10,,,,LargeCap
GLENMARK,Buy,PHARMA,#N/A,#N/A,887.9,2.1,908.85,888.05,0.023051109,-0.000168909,12%,1%,1%,-4%,4%,TB,972.95,9%,23.29,13,994,11%,42866,742.804,927.467,184.663,G,,0,477.101,223.585,226.781,148.739,196.132,Y,,Y,23.29,42866,622,601,21,0,0.22,0.77,,0,16.9,7.92,8.03,5.28,6.95,26.46,43.60719896,25054,742.804,28.217,1,,,,LargeCap
GLOBALVECT,HWLV,AIRLINES,#N/A,#N/A,107.4,#N/A,#N/A,#N/A,#N/A,#N/A,45%,36%,2%,-1%,-6%,,122.7,12%,14.63,17,137,22%,42776,12.9062,9.8064,-3.0998,,,0,2.1634,6.8317,0.8113,0.5034,3.7402,Y,,Y,14.63,42776,4,1,3,9.52,0,130.99,,0,1.55,4.88,0.58,0.36,1.9,9.22,1.302649162,150,12.9062,14,10,,,,MiniCap
GLOBOFFS,Exit,ENERGY-OIL & GAS,#N/A,#N/A,50.15,-0.9,51,49.7,0.016666667,0.009054326,-76%,-2%,-18%,-11%,15%,,68.4,27%,62.77,-1.078958692,184.4,73%,42773,-25.3885,-93.6087,-68.2202,,,0,-37.9828,-34.441,-21.1849,-7.6585,-16.5757,,,,62.77,42773,20,33,-13,0,0,2.12,FB,0,-11.62,-11.06,-5.62,-1.59,-3.92,-4.55,2.263237325,124,-25.3885,24.7288,10,,,,MiniCap
GLOBUSSPR,HWLV,FMCG-BEVERAGES,0,0,67.3,2.53,70.6,67,0.04674221,0.004477612,21%,-16%,-17%,-15%,-12%,TB,89.4,25%,15.23,23,115.9,42%,42768,10.0387,8.437,-1.6017,,,0,2.0833,0.0259,6.3278,4.3214,3.4902,Y,,Y,15.23,42768,4,2,2,0,0,0.64,,0,0.72,0.01,2.2,1.5,1.21,3.49,1.41302787,194,10.0387,28.7993,10,,,,MiniCap
GMBREW,HWV,FMCG-BEVERAGES,0,0,444.55,5.67,479,443.1,0.071920668,0.003272399,-35%,-6%,-3%,-8%,-6%,TB,513,13%,14.75,16,726,39%,,58.31,33.6,-24.71,,,10.32,9.9,11.12,12.58,17.42,15.57,Y,,Y,14.75,42831,6,7,-1,0,0.67,0,,7.06,6.77,7.6,8.61,14.89,13.31,49.85,2.050316238,650,58.31,14.62,10,,,RS2,MiniCap
GMDCLTD,Buy,METALS AND MINING,0,0,132.65,-1.69,133.85,130.2,0.00896526,0.018817204,93%,49%,13%,11%,8%,,131.95,-1%,13,23,144.95,8%,,241.1725,234.1997,-6.9728,G,,90.0106,46.5427,72.8563,114.8007,51.7164,46.6075,Y,,Y,13,42864,112,108,4,0,0,0.25,,2.83,1.46,2.29,3.61,1.63,1.47,7.58,7.558370083,4218,241.1725,63.6,2,,,,SmallCap
GMRINFRA,Exit,CEMENTS,#N/A,#N/A,17,-1.47,17.15,16.6,0.008746356,0.024096386,43%,53%,35%,7%,6%,,18.65,9%,0,-7,18.65,9%,42779,-1998.94,-1205.33,793.61,,,0,-381.93,-700.34,-123.06,-1519.03,40.01,,,,0,42779,164,159,5,73.52,0,8.09,FB,0,-0.63,-1.16,-0.2,-2.52,0.07,-3.82,23.20187306,10261,-1998.94,603.59,1,,,,MidCap
GNA,NL,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,227.7,#N/A,#N/A,#N/A,#N/A,#N/A,,29%,21%,16%,4%,,237,4%,16.53,15,267,15%,,0,23.4886,23.4886,G,,6.1087,8.1403,7.536,7.8123,7.3368,6.4029,Y,,Y,16.53,42860,25,27,-2,0,0,0.78,,2.85,3.79,3.51,5.15,0,4.22,0,0.541373861,489,0,21.4654,10,GNA,,RISKY,MiniCap
GNFC,Buy,FERTILISERS,NATURAL GAS/ CRUDEOIL,DOWN,316.85,-2.32,319,309.3,0.006739812,0.024409958,268%,60%,31%,17%,10%,,322.7,2%,12.86,18,322.7,2%,42884,226.36,282.87,56.51,G,,0,66.77,165.48,50.62,99.09,85.63,Y,,Y,12.86,42884,159,152,7,0,0.63,1.3,,0,4.29,10.65,3.26,6.38,5.51,15.03,17.87401885,4924,226.36,155.42,10,,,,SmallCap
GOACARBON,Exit,METALS AND MINING,0,0,143.15,-0.59,145.4,142.1,0.015474553,0.007389163,58%,44%,40%,35%,23%,,158.75,10%,13.84,-30,158.75,10%,,-3.392,4.3426,7.7346,,,5.0823,-1.09,4.6208,0.8118,0.4113,-0.9034,,,,13.84,42836,14,14,0,0,3.14,2.82,FB,5.55,-1.19,5.05,0.89,0.45,-0.99,-3.71,1.594290833,131,-3.392,9.1511,10,,,,MiniCap
GOCLCORP,NL,CHEMICALS,#N/A,#N/A,438.8,0.27,445.95,431,0.016033188,0.018097448,186%,81%,49%,27%,18%,,458.9,4%,84.31,108,465,6%,42884,26.9362,21.0063,-5.9299,G,,0,5.0497,9.0526,6.904,4.8508,6.0071,Y,,Y,84.31,42884,20,21,-1,0,0.34,3.03,FB,0,1.02,1.83,1.39,0.98,0,5.43,0.357592348,2175,26.9362,9.9145,2,GOCLCORP,,,SmallCap
GODFRYPHLP,HWV,FMCG-FOOD,0,0,1202.25,7.69,1298,1201.8,0.073767334,0.000374438,-2%,45%,23%,16%,6%,,1345,11%,48.79,40.61655405,1542.5,22%,42768,162.24,80.52,-81.72,,,0,38.44,19.7,22.38,47.71,13.77,Y,,Y,48.79,42768,80,82,-2,0,0.66,0.06,,0,7.4,3.79,4.3,9.18,2.64,31.27,15.9213901,6251,162.24,10.4,2,,,,MidCap
