Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt,% Low movt,Yearly Gainner,27th Dec,1st Feb,1st March,1st April,TB,RH,Corr,PeRatio,New Pe,W52_High,Corre,latest,Annual_Pat,Cum PAT 3 Quarter,Pat Jump,Annual Growth,Year End,Mar_17_ReportedPAT,Dec_16_ReportedPAT,Sep_16_ReportedPAT,Jun_16_ReportedPAT,Mar_16_ReportedPAT,Dec_15_ReportedPAT,Y oY PAT,LQ>0.5(4q's),PAT Growth,PeRatio,ResultDate,Mar_17_Inst_no_of_shares,Dec_16_Inst_no_of_shares,Int/ Incr/ Decr,Pledge,DividendYield,DERatio,FB,Mar_17_Eps_Before,Dec_16_Eps_Before,Sep_16_Eps_Before,Jun_16_Eps_Before,Mar_16_Eps_Before,Dec_15_Eps_Before,Annual_Eps,Volume,MarketCap,Annual_Pat,EquityCapital,FaceValue,New Listing,PE High Price High,Future,Cap Category
ABB,Exit,INFRA-MACHINERY EQUIPMENT,0,0,1601.95,-4.06,1602,1526,3.1211E-05,0.049770642,2%,57%,47%,34%,25%,,1484,-8%,86.11,58,1620,1%,,0,305.27,305.27,G,,88.17,146.79,81.06,77.42,70.98,129.4,Y,,Y,86.11,42863,174,178,-4,0,0.24,0.18,FB,4.16,6.93,3.83,3.65,3.35,6.11,0,9.529869221,33947,0,42.38,2,,,,LargeCap
ABBOTINDIA,HWV,PHARMA,0,0,4206.45,2.56,4323,4206.45,0.026960444,0,1%,-7%,-4%,-6%,-9%,TB,4840,13%,30.54,26,5049,17%,42874,259.63,234.59,-25.04,G,,0,85.56,75.02,74.01,59.01,70.36,Y,,Y,30.54,42874,84,73,11,0,0.83,0,,0,40.26,35.3,34.83,27.77,33.11,122.18,2.998834741,8938,259.63,21.25,10,,,,MidCap
ABFRL,Exit,TEXTILES AND APPAREL,0,0,158.15,3.6,164.3,158.9,0.037431528,-0.00471995,24%,22%,7%,0%,3%,TB,185.7,15%,0,-247.109375,185.7,15%,42867,-104.14,31.67,135.81,,,0,-12.4,64.89,-20.82,-109.82,7.43,,,,0,42867,319,333,-14,0,0,1.57,FB,0,-0.16,0.84,-0.27,-1.42,0.1,-1.35,6.536657377,12186,-104.14,769.89,10,,,,MidCap
ABIRLANUVO,Buy,DIVERSIFIED,#N/A,#N/A,1692.6,-0.33,1713.45,1684.35,0.012168432,0.004898032,87%,46%,24%,17%,11%,,1743.3,3%,19.66,26.74778761,1744.85,3%,42873,2033.05,682.33,-1350.72,,New Listing,0,199.04,250.88,232.41,356.31,141.02,Y,,Y,19.66,42873,382,403,-21,0.14,0.29,2.34,,0,15.82,21.7,23.4,25.06,24.4,144.72,47.01065189,22047,2033.05,130.24,10,,,,LargeCap
ABMINTLTD,NL,REALTY-HOUSEHOLD,#N/A,#N/A,184.8,#N/A,#N/A,#N/A,#N/A,#N/A,,,806%,505%,205%,,168.05,-10%,90.9,84,202,9%,42758,0.761316619,0.8397,0.078383381,,,0,0.1086,0.3023,0.4288,1.5515,0.5515,,,,90.9,42758,0,0,,0,0.13,1.3,FB,0,0.55,1.54,2.19,7.92,2.81,0,0.001100206,217,0.761316619,1.96,10,ABMINTLTD,,,MiniCap
ACC,Exit,CEMENTS,#N/A,#N/A,1690.35,0.43,1722.95,1690.1,0.018921037,0.00014792,6%,32%,20%,20%,17%,,1644.85,-3%,51.06,87,1756.7,4%,,0,406.44,406.44,G,,209,86.22,82.99,237.23,227.77,99.62,Y,,Y,51.06,42846,737,729,8,0,1,0,FB,11.21,4.83,4.35,12.7,12.31,5.44,0,45.09825559,31743,0,187.99,10,,,,LargeCap
ACCELYA,BWLV,IT,#N/A,#N/A,1488.2,#N/A,#N/A,#N/A,#N/A,#N/A,70%,6%,-7%,0%,3%,,1890,21%,23.8,25,1890,21%,,0,70.6767,70.6767,G,,22.5464,22.2993,24.3902,23.9872,23.1626,19.4283,Y,,Y,23.8,42858,40,39,1,0,3.02,0,,15.1,14.94,16.34,16.07,15.52,13.02,0,0.817927171,2221,0,14.9269,10,,,,SmallCap
ACE,HWV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,68.3,-1.17,68.9,66.8,0.008708273,0.02245509,60%,58%,47%,25%,14%,,69.9,2%,48.19,47,70.6,3%,42874,8.6456,12.2708,3.6252,,,0,4.8278,4.4383,3.0047,4.3473,1.686,Y,,Y,48.19,42874,11,10,1,0.12,0.23,0.54,,0,0.36,0.33,0.2,0.36,0.17,0.84,1.58238048,801,8.6456,23.4646,2,,,,MiniCap
ADANIENT,Buy,INFRA-POWER,#N/A,#N/A,122.8,-2.16,126.8,117.4,0.031545741,0.045996593,51%,79%,41%,25%,13%,,160.7,24%,14.48,9.935275081,160.7,24%,42780,1083.25,597.31,-485.94,,,0,302.26,17.42,277.63,166.04,170.45,Y,,Y,14.48,42780,150,143,7,28.91,0.32,1.44,,0,3.09,0.57,3.31,1.52,1.91,9.47,36.11452085,13506,1083.25,109.98,1,,,,MidCap
ADANIPORTS,Buy,TRANSPORTATION LOGISTICS,#N/A,#N/A,351.9,1.25,358.9,350.5,0.01950404,0.003994294,43%,36%,20%,17%,4%,,359.25,2%,19.69,21.45731707,359.25,2%,42780,2829.94,2741.27,-88.67,G,,0,839.6,1083.89,817.78,908.7,667.63,Y,,Y,19.69,42780,710,661,49,29.55,0.31,1.47,,0,4.1,5.26,4.04,4.41,3.26,13.85,95.31158733,72877,2829.94,414.19,2,,,,LargeCap
ADANIPOWER,Exit,INFRA-POWER,#N/A,#N/A,31.1,-0.96,31.35,30.7,0.007974482,0.013029316,20%,14%,-12%,-19%,-22%,TB,46.35,33%,17.01,-8.360215054,46.35,33%,42755,488.48,-468.22,-956.7,,,0,-323.61,-113.4,-31.21,1173.39,109.49,,,,17.01,42755,354,177,177,38.91,0,6.66,FB,0,-0.93,-0.33,-0.09,3.72,0.37,1.64,34.36381292,11995,488.48,3500.89,10,,,,MidCap
ADANITRANS,HWV,INFRA-POWER,0,0,75.8,8.84,83.35,75.65,0.090581884,0.001982816,95%,48%,20%,23%,18%,,96.2,21%,20.07,21,96.2,21%,42779,357.73,321.53,-36.2,G,,0,99.28,99.54,122.71,95.28,79.94,Y,,Y,20.07,42779,112,102,10,30.99,0,3,,0,0.9,0.91,1.12,0.87,0.73,3.25,4.624903103,8337,357.73,1099.81,10,,,,MidCap
ADFFOODS,RS,FMCG-FOOD,0,0,258.7,15.35,299.4,260.4,0.135938544,-0.006528418,114%,92%,77%,79%,49%,,241.95,-7%,55.67,41,273.2,5%,42867,6.6074,8.0169,1.4095,,,0,3.3982,1.9862,2.6325,1.799,0.7607,Y,,Y,55.67,42867,25,23,2,0,0,0.04,FB,0,1.57,0.91,1.2,0.82,0.35,3,1.780311943,548,6.6074,21.5798,10,,,,MiniCap
ADHUNIK,Exit,METALS AND MINING,#N/A,#N/A,6.75,#N/A,#N/A,#N/A,#N/A,#N/A,-37%,-1%,-8%,-12%,-1%,TB,9.3,27%,0,-0.234049931,9.3,27%,42779,-463.797,-395.6749,68.1221,,,0,-89.0542,-203.6431,-102.9776,-111.303,-107.0186,,,,0,42779,8,8,0,45.59,0,37.61,FB,0,-7.21,-16.49,-8.34,-9.01,-8.67,-37.54,0.167650018,83,-463.797,123.4995,10,,,,MiniCap
ADHUNIKIND,NL,METALS AND MINING,#N/A,#N/A,109.65,#N/A,#N/A,#N/A,#N/A,#N/A,,6%,21%,-10%,5%,,123.2,11%,193.6,548,160.8,32%,42779,2.2743,0.9149,-1.3594,,,0,0.2291,0.535,0.1508,1.6817,-3.5462,Y,,Y,193.6,42779,0,0,,0,0,0.64,FB,0,0.05,0.12,0.03,0.36,-0.76,0.49,0.379439635,513,2.2743,46.7638,10,ADHUNIKIND,,,MiniCap
ADLABS,Exit,ENTERTAINMENT-HOTELS AND LEISURE,0,0,83.8,4.53,90.2,84.15,0.070953437,-0.004159239,-4%,20%,15%,-3%,7%,TB,93.5,10%,0,-7.350877193,117.45,29%,42769,-103.237,-85.9544,17.2826,,,0,-22.7723,-43.9541,-19.228,-15.977,-25.191,,,,0,42769,16,19,-3,61,0,1.66,FB,0,-2.85,-5.5,-2.41,-2,-3.15,-12.92,3.558492212,670,-103.237,79.8978,10,,,,MiniCap
ADORWELD,HWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,334.8,#N/A,#N/A,#N/A,#N/A,#N/A,13%,21%,12%,16%,7%,TB,348.75,4%,24.4,25.28700906,348.95,4%,,22.39,11.09,-11.3,,,7.58,4.51,5.24,1.34,8.63,5.07,Y,,Y,24.4,42864,26,26,0,0,0,0,,5.57,3.31,3.85,0.99,6.35,3.73,16.46,0.103375839,455,22.39,13.6,10,,,,MiniCap
ADSL,Exit,IT,#N/A,#N/A,28.8,#N/A,#N/A,#N/A,#N/A,#N/A,-24%,-14%,-15%,-7%,-1%,TB,35.35,19%,65.79,25.71428571,46.4,38%,42779,6.43,4.4946,-1.9354,,,0,-5.52,3.8046,6.21,-2.11,2.85,,,,65.79,42779,3,3,0,14.47,0,0.22,FB,0,0.28,0.56,0.78,0,0.57,1.21,0.279938245,145,6.43,25.1,5,,,,MiniCap
ADVANIHOTR,HWLV,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,60.9,#N/A,#N/A,#N/A,#N/A,#N/A,21%,23%,12%,17%,7%,TB,68.8,11%,31.33,21,68.8,11%,42762,6.4032,4.7224,-1.6808,,,0,3.3607,0.2922,1.0695,4.2323,2.3693,Y,,Y,31.33,42762,8,8,0,0,0.78,0.12,,0,0.73,0.06,0.23,0.92,0.51,1.39,0.091972993,281,6.4032,9.2439,2,,,,MiniCap
ADVENZYMES,NL,PHARMA,0,0,1961.95,-1.23,1979,1925,0.008615462,0.019194805,,8%,10%,13%,-5%,,2224.9,12%,0,75,2375.5,17%,42780,76.746,72.421,-4.325,G,,0,15.006,29.261,28.154,0,0,Y,,Y,0,42780,52,55,-3,25.3,0.05,0.25,,0,6.51,13.17,12.66,0,0,34.85,20.45920053,4380,76.746,22.326,10,ADVENZYMES,,,SmallCap
AEGISCHEM,RS,TRANSPORTATION LOGISTICS,LPG GAS,DISCUS,184.7,4.3,193.8,185.15,0.046955624,-0.002430462,105%,48%,43%,-9%,-5%,,214,14%,50.61,41,214,14%,42768,126.14,101.83,-24.31,G,,0,42.13,29.52,30.18,33.96,32.81,Y,,Y,50.61,42768,103,94,9,0,0.48,0.31,FB,0,1.12,0.81,0.78,0.94,0.9,3.39,7.176010736,6169,126.14,33.4,1,,,,MidCap
AFL,TA,IT,#N/A,#N/A,60.1,#N/A,#N/A,#N/A,#N/A,#N/A,48%,20%,3%,-12%,-16%,,81.65,26%,0,-22,81.65,26%,42861,-136.82,-2.21,134.61,,,0,0.94,-2.8,-0.35,-94.27,-16.63,Y,,Y,0,42861,2,1,1,0,0,-9.01,,0,-0.67,-2,-0.67,-32.94,-6.34,-48.73,0.267391104,179,-136.82,29.76,10,,,,MiniCap
AGARIND,RS,TRANSPORTATION LOGISTICS,#N/A,#N/A,735.9,#N/A,#N/A,#N/A,#N/A,#N/A,384%,133%,110%,61%,21%,,750,2%,117.71,114,759.8,3%,42780,5.7739,5.5458,-0.2281,,,0,1.3367,1.5742,2.6349,1.5753,0.5989,Y,,Y,117.71,42780,2,3,-1,0,0.2,0.77,FB,0,1.61,1.97,4.78,2.86,1.09,10.47,1.479079996,748,5.7739,8.6587,10,,,,MiniCap
AGCNET,TA,IT,#N/A,#N/A,108.55,#N/A,#N/A,#N/A,#N/A,#N/A,43%,24%,28%,20%,18%,,114.8,5%,0,34,114.8,5%,42775,-34.59,6.72,41.31,,,0,2.25,2.91,1.56,-13.02,-4.63,Y,,Y,0,42775,24,24,0,100,0,3.29,FB,0,0.79,1.02,0.55,-4.57,-1.63,-12.15,0.043036633,309,-34.59,28.47,10,,,,MiniCap
