Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5400","Europe","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","742186","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5511","Production","2511","Wheat and products","2013","2013","1000 tonnes","226089","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5611","Import Quantity","2511","Wheat and products","2013","2013","1000 tonnes","45338","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5072","Stock Variation","2511","Wheat and products","2013","2013","1000 tonnes","-4775","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5911","Export Quantity","2511","Wheat and products","2013","2013","1000 tonnes","91363","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5301","Domestic supply quantity","2511","Wheat and products","2013","2013","1000 tonnes","175289","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5521","Feed","2511","Wheat and products","2013","2013","1000 tonnes","61364","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5527","Seed","2511","Wheat and products","2013","2013","1000 tonnes","13788","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5123","Losses","2511","Wheat and products","2013","2013","1000 tonnes","4608","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5131","Processing","2511","Wheat and products","2013","2013","1000 tonnes","6266","A","Aggregate, may include official, semi-official, estimated or calculated data"
