employee,companyAlias,numVotes,lastParticipationDate,timezone,stillExists,deletedOn
Qqq,C1,37,7/3/17 2:07,Europe/Berlin,FALSE,7/3/17 17:07
LWe,C1,108,2/15/18 1:02,Europe/Madrid,FALSE,2/15/18 17:02
bQb,C1,5,6/2/17 2:06,Europe/Berlin,FALSE,6/5/17 18:06
2aN,C1,215,3/21/18 1:03,Europe/Madrid,FALSE,3/21/18 18:03
6gy,C1,39,7/3/17 2:07,Europe/Berlin,FALSE,8/30/17 9:08
Yja,C1,21,6/30/17 2:06,Europe/Berlin,FALSE,7/12/17 11:07
OAm,C1,1,5/6/17 2:05,Europe/Berlin,FALSE,6/5/17 18:06
lXP,C1,56,10/11/17 2:10,Europe/Madrid,FALSE,10/16/17 14:10
X7o,C1,45,7/26/17 2:07,Europe/Berlin,FALSE,11/9/17 17:11
GrD,C1,17,7/3/17 2:07,Europe/Berlin,FALSE,7/12/17 11:07
8EE,C1,88,9/29/17 2:09,Europe/Madrid,FALSE,9/29/17 14:09
Mb7,C1,45,11/14/17 1:11,Europe/Madrid,FALSE,11/16/17 8:11
4Z1,C1,156,5/11/18 2:05,Europe/Madrid,FALSE,5/28/18 16:05
5GB,C1,115,9/27/17 2:09,Europe/Berlin,FALSE,9/27/17 10:09
e9M,C1,6,5/11/17 2:05,Europe/Madrid,FALSE,5/12/17 10:05
dgY,C1,7,5/12/17 2:05,Europe/Berlin,FALSE,5/12/17 11:05
Zwq,C1,8,5/11/17 2:05,Europe/Berlin,FALSE,5/12/17 11:05
NEV,C1,4,6/15/17 2:06,Europe/Madrid,FALSE,6/15/17 17:06
qEd,C1,14,8/4/17 2:08,Europe/Berlin,FALSE,2/5/18 15:02
9lv,C1,167,6/20/18 2:06,Europe/Madrid,FALSE,6/20/18 17:06
9lE,C1,4,9/4/17 2:09,Europe/Berlin,FALSE,5/28/18 16:05
DAg,C1,33,1/14/18 1:01,Europe/Berlin,FALSE,1/15/18 11:01
XYN,C1,111,5/31/18 2:05,Europe/Madrid,FALSE,6/27/18 10:06
oe3,C1,1,6/6/17 2:06,Europe/Berlin,FALSE,6/7/17 8:06
86P,C1,14,8/28/17 2:08,Europe/Berlin,FALSE,8/30/17 9:08
b3W,C1,21,4/10/18 2:04,Europe/Madrid,FALSE,4/11/18 15:04
egv,C1,0,null,America/Chicago,FALSE,6/9/17 18:06
ADW,C1,140,2/4/18 1:02,Europe/Berlin,FALSE,2/5/18 15:02
KzZ,C1,200,4/17/18 2:04,Europe/Madrid,FALSE,4/17/18 12:04
yA1,C1,0,null,Europe/Madrid,FALSE,7/7/17 10:07
2Rl,C1,1,null,Europe/Madrid,FALSE,10/15/18 12:10
l4m,C1,269,8/28/18 2:08,Europe/Madrid,FALSE,8/29/18 9:08
veB,C1,172,4/11/18 2:04,Europe/Madrid,FALSE,4/11/18 15:04
or3,C1,5,9/13/17 2:09,Europe/Madrid,FALSE,10/16/17 14:10
xLK,C1,44,6/5/18 2:06,Europe/Madrid,FALSE,6/6/18 22:06
Ezx,C1,162,6/27/18 2:06,Europe/Madrid,FALSE,6/27/18 8:06
jJa,C1,2,10/23/17 2:10,Europe/Madrid,FALSE,11/25/17 10:11
Jd3,C1,152,7/6/18 2:07,Europe/Madrid,FALSE,7/7/18 9:07
4ov,C1,454,3/4/19 1:03,Europe/Berlin,FALSE,3/4/19 10:03
mmE,C1,4,7/31/18 2:07,Europe/Madrid,FALSE,9/10/18 10:09
d98,C1,0,null,Europe/Madrid,FALSE,10/15/18 12:10
KLZ,C1,15,3/20/18 1:03,Europe/Berlin,FALSE,8/28/18 8:08
7am,C1,93,2/1/18 1:02,Europe/Berlin,FALSE,5/28/18 16:05
ZO2,C1,211,8/28/18 2:08,Europe/Berlin,FALSE,8/29/18 9:08
NLw,C1,37,1/13/18 1:01,Europe/Madrid,FALSE,1/15/18 11:01
3qG,C1,20,1/11/18 1:01,Europe/Madrid,FALSE,1/15/18 11:01
Ryo,C1,28,2/5/18 1:02,Europe/Madrid,FALSE,2/5/18 15:02
gw5,C1,2,12/1/17 1:12,Europe/Madrid,FALSE,6/27/18 8:06
9RE,C1,72,6/27/18 2:06,Europe/Berlin,FALSE,6/27/18 8:06
D1g,C1,0,null,America/Chicago,FALSE,11/1/17 3:11
O7X,C1,0,null,Europe/Madrid,FALSE,10/15/18 12:10
gWw,C1,131,6/25/18 2:06,Europe/Madrid,FALSE,7/3/18 15:07
D1J,C1,83,4/17/18 2:04,Europe/Madrid,FALSE,4/18/18 14:04
VmW,C1,80,5/15/18 2:05,Europe/Madrid,FALSE,5/15/18 17:05
W4E,C1,26,5/9/18 2:05,Europe/Madrid,FALSE,5/15/18 17:05
v6N,C1,15,2/11/19 1:02,Europe/Madrid,FALSE,2/11/19 18:02
o38,C1,3,5/9/18 2:05,Europe/Madrid,FALSE,10/24/18 12:10
BO8,C1,174,3/4/19 1:03,Europe/Madrid,FALSE,3/6/19 18:03
j19,C1,5,4/9/18 2:04,Europe/Madrid,FALSE,4/11/18 15:04
8eA,C1,93,3/6/19 1:03,Europe/Madrid,FALSE,3/6/19 18:03
1Ar,C1,166,3/3/19 1:03,Europe/Madrid,FALSE,3/7/19 14:03
Lex,C1,57,12/16/18 1:12,Europe/Madrid,FALSE,12/17/18 16:12
eNb,C1,1,3/13/18 1:03,Europe/Berlin,FALSE,3/13/18 21:03
yYA,C1,72,11/27/18 1:11,Europe/Madrid,FALSE,12/13/18 16:12
9qe,C1,70,7/20/18 2:07,Europe/Madrid,FALSE,7/23/18 13:07
O2y,C1,9,5/26/18 2:05,Europe/Madrid,FALSE,6/13/18 19:06
lVr,C1,11,7/25/18 2:07,Europe/Madrid,FALSE,7/27/18 14:07
GAV,C1,1,6/19/18 2:06,Europe/Madrid,FALSE,7/27/18 14:07
aBJ,C1,27,8/28/18 2:08,Europe/Madrid,FALSE,8/29/18 9:08
D7J,C1,29,11/19/18 1:11,Europe/Madrid,FALSE,11/20/18 13:11
9KA,C1,50,11/9/18 1:11,Europe/Madrid,FALSE,12/13/18 16:12
zR7,C1,42,10/26/18 2:10,Europe/Madrid,FALSE,11/20/18 13:11
B7E,C1,16,1/21/19 1:01,Europe/Madrid,FALSE,2/11/19 18:02
QJg,C1,1,11/28/18 1:11,Europe/Madrid,FALSE,1/28/19 10:01
